_id,ปี,อำเภอ,รายการสถิติ,ตำบล,ประกอบกิจการ,คนงานรวม,จังหวัด,เงินทุนรวม,ชื่อโรงงาน
1,2563,หางดง,รายชื่อสถานประกอบการ,หางดง,ทำผลิตภัณฑ์จากไม้ไผ่,43,เชียงใหม่,5523000,บริษัท ฮูไทยคราฟท์ จำกัด
2,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ป่าตัน,ทำเส้นก๋วยเตี๋ยว เส้นหมี่สดและแห้ง,73,เชียงใหม่,23500000,ห้างหุ้นส่วนจำกัด อิสริยะผล
3,2563,หางดง,รายชื่อสถานประกอบการ,สบแม่ข่า,ผลิตเส้นก๋วยเตี๋ยว,2000000,เชียงใหม่,0,บริษัท กรีนเนเจอร์ เกรนส์ แอนด์ นู้ดเดิ้ล จำกัด
4,2563,สันทราย,รายชื่อสถานประกอบการ,แม่แฝก,ปรับปรุงคุณภาพกระจกให้เป็นกระจกนิรภัยสำหรับอาคารและอื่น ๆ,60,เชียงใหม่,193000000,บริษัท กมลพิศาลกระจกนิรภัย จำกัด
5,2563,ดอยสะเก็ด,รายชื่อสถานประกอบการ,ลวงเหนือ,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษกระดาษ พลาสติก โลหะ และนำตัวทำละลายใช้แล้ว มาผ่านกระบวนการทางอุตสาหกรรม เพื่อนำกลับมาใช้เป็นเชื้อเพลิงทดแทน และนำน้ำมันใช้แล้วมาผ่านกระบวนการทางอุตสาหกรรม เพื่อนำกลับมาใช้เป็นเชื้อเพลิงทดแทน น้ำมันทาแบบและน้ำมันหยอดทิ้ง,7,เชียงใหม่,1250000,ห้างหุ้นส่วนจำกัด วัฒนะปิโตร ซัพพลาย
6,2563,สารภี,รายชื่อสถานประกอบการ,ท่าวังตาล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,100000,เชียงใหม่,0,อรัญญาพลาสติก
7,2563,สันทราย,รายชื่อสถานประกอบการ,แม่แฝก,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,20000000,เชียงใหม่,0,บริษัท ส.รวมเศษ สันทราย จำกัด
8,2563,จอมทอง,รายชื่อสถานประกอบการ,ข่วงเปา,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะเศษกระดาษ เศษพลาสติก เศษโลหะ อัดเศษกระดาษและบดย่อยพลาสติก,11,เชียงใหม่,4500000,ห้างหุ้นส่วนจำกัด ท้าวบุญเรือง
9,2563,หางดง,รายชื่อสถานประกอบการ,หารแก้ว,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),200000,เชียงใหม่,0,ห้างหุ้นส่วนจำกัด บี.บี.บี. เพาเวอร์
10,2563,สันป่าตอง,รายชื่อสถานประกอบการ,บ้านกลาง,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว โดยกระบวนการกรองซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย และเก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพ และดัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,1000000,เชียงใหม่,0,บริษัท ชินโชติสุทธิธนาภูมิ จำกัด
