มาตรา 39,มาตรา 40,_id,ปี,มาตรา 33,รายการข้อมูล,จังหวัด,ทั้งหมด
4,180,1,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กระบี่,186
,,2,2565,,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กรุงเทพมหานคร,0
26,290,3,2565,8,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาญจนบุรี,324
2,247,4,2565,1,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาฬสินธุ์,250
8,444,5,2565,11,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กำแพงเพชร,463
30,509,6,2565,19,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ขอนแก่น,558
13,150,7,2565,8,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,จันทบุรี,171
42,248,8,2565,38,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ฉะเชิงเทรา,328
181,286,9,2565,117,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชลบุรี,584
4,223,10,2565,1,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยนาท,228
11,391,11,2565,8,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยภูมิ,410
7,154,12,2565,5,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชุมพร,166
40,333,13,2565,12,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงราย,385
326,760,14,2565,79,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงใหม่,1165
7,331,15,2565,8,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตรัง,346
5,156,16,2565,4,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตราด,165
9,124,17,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตาก,135
19,74,18,2565,9,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครนายก,102
80,257,19,2565,33,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครปฐม,370
5,115,20,2565,0,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครพนม,120
41,338,21,2565,44,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครราชสีมา,423
17,389,22,2565,5,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครศรีธรรมราช,411
16,355,23,2565,16,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครสวรรค์,387
216,312,24,2565,85,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นนทบุรี,613
6,114,25,2565,1,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นราธิวาส,121
5,243,26,2565,5,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,น่าน,253
1,79,27,2565,1,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,บึงกาฬ,81
9,303,28,2565,5,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,บุรีรัมย์,317
284,345,29,2565,82,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปทุมธานี,711
9,141,30,2565,3,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ประจวบคีรีขันธ์,153
14,116,31,2565,11,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปราจีนบุรี,141
3,116,32,2565,6,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปัตตานี,125
