﻿year,sex,quarter,_id,value,unit,source
2567,1. ชาย,ไตรมาส 3,80,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 3,81,0.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 4,82,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 4,83,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 4,84,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,รวม,ไตรมาส 1,85,0.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,1. ชาย,ไตรมาส 1,86,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,2. หญิง,ไตรมาส 1,87,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,รวม,ไตรมาส 2,88,0.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,1. ชาย,ไตรมาส 2,89,0.44,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,2. หญิง,ไตรมาส 2,90,0.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,รวม,ไตรมาส 3,91,0.44,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,1. ชาย,ไตรมาส 3,92,0.47,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,2. หญิง,ไตรมาส 3,93,0.41,ร้อยละ,สำนักงานสถิติแห่งชาติ
