"จำนวนเกษตรกร
(ราย)","ผลผลิตรวม
(ตัน)","พื้นที่เก็บเกี่ยว
(ไร่)",ชนิดพืช,_id,"พื้นที่เพาะปลูก
(ไร่)","มูลค่ารวม
(ล้านบาท)",พ.ศ.
"47,371","2,731,352","998,666",ปาล์มน้ำมัน,1,"1,046,284","12,017.95",2563
"30,511","111,330","458,148",ยางพารา,2,"511,836","3,407.81",2563
"24,287","315,552","196,158",ทุเรียน,3,"232,011","31,457.38",2563
"11,718","6,861","81,685",กาแฟ,4,"87,236",411.52,2563
"17,934","87,504,682","92,731",มะพร้าว,5,"98,050","1,518.64",2563
"13,503","38,119","50,198",มังคุด,6,"50,575","1,851.06",2563
"10,209","4,664","13,040",ลองกอง,7,"13,040",98.97,2563
"2,098","7,377","7,473",กล้วยเล็บมือนาง,8,"9,165",55.03,2563
"3,402","2,581","7,150",หมาก,9,"8,975",96.11,2563
"1,708","18,407","7,521",กล้วยหอมทอง,10,"7,971",184.99,2563
"162,741","71,148","1,912,770",รวม,11,"2,065,143","51,099.46",2563
