_id,ปี,ปริมาณน้ำทิ้ง,ตำบล,อำเภอ,หน่วย
1,2569,5,โกรกกราก ,เมืองสมุทรสาคร,ลบ.ม./วัน
2,2569,1676.5,โคกขาม ,เมืองสมุทรสาคร,ลบ.ม./วัน
3,2569,600,กาหลง ,เมืองสมุทรสาคร,ลบ.ม./วัน
4,2569,81,คอกกระบือ ,เมืองสมุทรสาคร,ลบ.ม./วัน
5,2569,120,ท่าจีน ,เมืองสมุทรสาคร,ลบ.ม./วัน
6,2569,22170.3,ท่าทราย ,เมืองสมุทรสาคร,ลบ.ม./วัน
7,2569,5,นาโคก ,เมืองสมุทรสาคร,ลบ.ม./วัน
8,2569,7669.92,นาดี ,เมืองสมุทรสาคร,ลบ.ม./วัน
9,2569,2218,บางโทรัด ,เมืองสมุทรสาคร,ลบ.ม./วัน
10,2569,2424.6,บางกระเจ้า ,เมืองสมุทรสาคร,ลบ.ม./วัน
11,2569,2,บางน้ำจืด ,เมืองสมุทรสาคร,ลบ.ม./วัน
12,2569,3735,บางหญ้าแพรก ,เมืองสมุทรสาคร,ลบ.ม./วัน
13,2569,9749,บ้านเกาะ ,เมืองสมุทรสาคร,ลบ.ม./วัน
14,2569,410,บ้านบ่อ ,เมืองสมุทรสาคร,ลบ.ม./วัน
15,2569,1,พันท้ายนรสิงห์ ,เมืองสมุทรสาคร,ลบ.ม./วัน
16,2569,465,มหาชัย ,เมืองสมุทรสาคร,ลบ.ม./วัน
17,2569,172,แคราย ,กระทุ่มแบน,ลบ.ม./วัน
18,2569,2135,คลองมะเดื่อ ,กระทุ่มแบน,ลบ.ม./วัน
19,2569,100,ดอนไก่ดี ,กระทุ่มแบน,ลบ.ม./วัน
20,2569,100,ตลาดกระทุ่มแบน ,กระทุ่มแบน,ลบ.ม./วัน
21,2569,1245,ท่าเสา ,กระทุ่มแบน,ลบ.ม./วัน
22,2569,9164.5,ท่าไม้ ,กระทุ่มแบน,ลบ.ม./วัน
23,2569,1622,สวนหลวง ,กระทุ่มแบน,ลบ.ม./วัน
24,2569,10304,อ้อมน้อย ,กระทุ่มแบน,ลบ.ม./วัน
