เงินทุนรวม,ประกอบกิจการ,พื้นที่อาคาร,อำเภอ,ถนน,ซอย,FID,คนงานรวม,ไปรษณีย์,จังหวัด,หมู่,เลขที่,ปี,แรงม้ารวม,ตำบล,ผู้ประกอบการ,คนงานชาย,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,พื้นที่โรงงาน,คนงานหญิง
46000000,ผลิตน้ำแข็งและน้ำดื่ม,0,กระทุ่มแบน,,,20740007125476,15,74110,สมุทรสาคร,2,100,2565,420.5,ท่าเสา,บริษัท ชีตาร์ (ประเทศไทย) จำกัด,12,1,จ3-14-71/47สค,บริษัท ชีตาร์ (ประเทศไทย) จำกัด,,3
8700000,ทำน้ำแข็งหลอด,360,กระทุ่มแบน,สุคนธวิท,-,20740001625489,8,74110,สมุทรสาคร,-,317/5,2565,217,ตลาดกระทุ่มแบน,นายศรนรินทร์ โชติเสรีวิทย์,6,2,จ3-14-16/48สค,-,396,2
4950000,ทำน้ำแข็ง ได้วันละ 1292.19 ซอง,1004,กระทุ่มแบน,สาย 4 พุทธมณฑล,,10740000225184,4,74130,สมุทรสาคร,10,50,2565,973.5,อ้อมน้อย,บริษัท มโนกุล จำกัด,4,3,3-14-2/18สค,บริษัท มโนกุล จำกัด,1004,0
3150000,ผลิตน้ำแข็งหลอด,288,กระทุ่มแบน,แคราย,-,20740300125363,5,74110,สมุทรสาคร,1,14/5,2565,131,แคราย,นางเนียม สีระเดิมพงษ์,5,4,จ3-14-1/36สค,-,1600,0
211000000,เกี่ยวกับการทำน้ำแข็ง หลอด ซอง หรือตัด ซอย บด หรือย่อยน้ำแข็ง,2790,กระทุ่มแบน,เลียบคลองแคราย,,20740002725577,45,74110,สมุทรสาคร,4,78/6,2565,2482,แคราย,บริษัท บีเอ็ม ไอซ์ จำกัด,26,5,จ3-14-27/57สค,บริษัท บีเอ็ม ไอซ์ จำกัด,9600,19
4780000,"ทำน้ำแข็งได้วันละ 1,290 ซอง",1004,กระทุ่มแบน,สายสี่พุทธมณฑล,,10740000325208,8,74130,สมุทรสาคร,10,50,2565,1210,อ้อมน้อย,บริษัท มโนกุล จำกัด,8,6,3-14-3/20สค,บริษัท มโนกุล จำกัด,1004,0
15000000,ผลิตน้ำแข็งซองและผลิตน้ำแข็งก้อนเล็ก ,1080,กระทุ่มแบน,เศรษฐกิจ 1,,10740000325182,17,74110,สมุทรสาคร,2,11/2,2565,2605.75,คลองมะเดื่อ,บริษัท ธาราทิพย์ กระทุ่มแบน จำกัด,12,7,3-14-3/18สค,บริษัท ธาราทิพย์ กระทุ่มแบน จำกัด,4800,5
4500000,ทำน้ำแข็งก้อนเล็ก ได้วันละ 147 ตัน,350,กระทุ่มแบน,พุทธมณฑลสาย 4,,10740100125292,6,74130,สมุทรสาคร,10,50,2565,596.5,อ้อมน้อย,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสายสี่พัฒนา,6,8,3-14-1/29สค,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสายสี่พัฒนา,4800,0
40500000,ผลิตน้ำแข็งหลอด ขนาดกำลังการผลิต 20 ตัน/วัน,497,กระทุ่มแบน,,,20740191725628,11,74130,สมุทรสาคร,4,,2565,465,อ้อมน้อย,บริษัท พีที ไอซ์ 2017 จำกัด,7,9,จ3-14-21/62สค,บริษัท พีที ไอซ์ 2017 จำกัด,960,4
100000000,"ผลิตน้ำแข็งซอง 1,600 ซอง และน้ำแข็งหลอด 320 ตัน",2904,กระทุ่มแบน,,,10740003425575,40,74130,สมุทรสาคร,7,198/5,2565,2988,อ้อมน้อย,บริษัท ธาราไอซ์ จำกัด,38,10,3-14-34/57สค,บริษัท ธาราไอซ์ จำกัด,6048,2
120750000,ทำน้ำแข็งซอง ขนาดกำลังการผลิต 200 ซอง/วัน และทำน้ำแข็งก้อน กำลังการผลิต 100 ตัน/วัน,1360,บ้านแพ้ว,พระประโทน-บ้านแพ้ว,,10740005825608,20,74120,สมุทรสาคร,9,555,2565,1158,บ้านแพ้ว,บริษัท อุตสาหกรรมน้ำแข็ง ภิญโญรุ่งเจริญ จำกัด,18,11,3-14-58/60สค,บริษัท อุตสาหกรรมน้ำแข็ง ภิญโญรุ่งเจริญ จำกัด,15576,2
13500000,ผลิตน้ำแข็งซองได้ 402 ซอง/วัน  และน้ำแข็งหลอดได้ 12 ตัน/วัน,540,บ้านแพ้ว,,,10740000225150,10,74120,สมุทรสาคร,1,33,2565,931.6,บ้านแพ้ว,โรงน้ำแข็งเพชรบ้านแพ้ว,10,12,3-14-2/15สค,โรงน้ำแข็งเพชรบ้านแพ้ว,4448,0
64000000,"ผลิตน้ำแข็งซอง ได้ 1,680 ซอง/วัน และน้ำแข็งก้อนเล็ก ได้ 100 ตัน/วัน",2645,เมืองสมุทรสาคร,-,-,10740002025533,59,74000,สมุทรสาคร,2,3/5,2565,2283,บางหญ้าแพรก,บริษัท อุตสาหกรรมน้ำแข็ง ซี.เอส.อาร์ จำกัด,59,13,3-14-20/53สค,บริษัท อุตสาหกรรมน้ำแข็ง ซี.เอส.อาร์ จำกัด,10072,0
9000000,ทำน้ำแข็ง ได้วันละ 300 ซอง,416,เมืองสมุทรสาคร,ธนบุรี-ปากท่อ กม.41,,740100325332,10,74000,สมุทรสาคร,4,82/12-13,2565,284.08,บางโทรัด,บริษัท ซีพีเอฟ ฟู้ด แอนด์ เบฟเวอร์เรจ จำกัด,10,14,ศ3-14-3/33สค,บริษัท ซีพีเอฟ ฟู้ด แอนด์ เบฟเวอร์เรจ จำกัด,221344,0
64000000,"ทำน้ำแข็งซองได้วันละ 2,280 ซอง",2048,เมืองสมุทรสาคร,เอกชัย,-,10740300125423,28,74000,สมุทรสาคร,4,48/2,2565,4270,นาดี,บริษัท น้ำแข็งเอกชัย จำกัด,28,15,3-14-1/42สค,บริษัท น้ำแข็งเอกชัย จำกัด,8000,0
4000000,ทำน้ำแข็งเกล็ดเพื่อการประมง,2100,เมืองสมุทรสาคร,ตัดใหม่,,10740000225291,8,74000,สมุทรสาคร,5,5/1,2565,2631.5,ท่าทราย,บริษัท อภิทุน เอ็นเตอร์ไพรส์ อุตสาหกรรม จำกัด,8,16,3-14-2/29สค,บริษัท อภิทุน เอ็นเตอร์ไพรส์ อุตสาหกรรม จำกัด,8000,0
31000000,ทำน้ำแข็งก้อนเล็ก ขนาดกำลังการผลิต 180 ตัน/วัน,150,เมืองสมุทรสาคร,เอกชัย,-,10740004625504,9,74000,สมุทรสาคร,4,26,2565,1870,นาดี,บริษัท เทพมณี โคลด์สตอเรจ (มหาชัย) จำกัด,7,17,3-14-46/50สค,บริษัท เทพมณี โคลด์สตอเรจ (มหาชัย) จำกัด,150,2
58000000,ทำน้ำแข็งซอง,2541,เมืองสมุทรสาคร,,,10740005325526,109,74000,สมุทรสาคร,9,66/9,2565,3079.5,โคกขาม,ห้างหุ้นส่วนจำกัด วิวไอซ์ (2015),87,18,3-14-53/52สค,ห้างหุ้นส่วนจำกัด วิวไอซ์ (2015),19084,22
18000000,ผลิตน้ำแข็ง,600,เมืองสมุทรสาคร,ธรรมคุณากร,,20740243425623,6,74000,สมุทรสาคร,1,80,2565,430,บางหญ้าแพรก,บริษัท ซีรอเยลอาหารทะเล จำกัด,6,19,จ3-14-33/62สค,บริษัท ซีรอเยลอาหารทะเล จำกัด,600,0
27000000,ทำน้ำแข็ง,937,เมืองสมุทรสาคร,,,20740008125608,25,74000,สมุทรสาคร,1,80/18,2565,482,บ้านเกาะ,นางสมศรี ตยางคนนท์,20,20,จ3-14-81/60สค,นางสมศรี ตยางคนนท์,3120,5
16000000,ผลิตน้ำแข็ง ได้วันละ 549.33 ซอง,840,เมืองสมุทรสาคร,เอกชัย,,740200225341,16,74000,สมุทรสาคร,4,30,2565,533.8,นาดี,บริษัท แพ็คฟู้ด จำกัด (มหาชน),16,21,ศ3-14-2/34สค,บริษัท แพ็คฟู้ด จำกัด (มหาชน),1440,0
92000000,"ผลิตน้ำแข็งหลอด 36 ตัน/วัน และผลิตน้ำแข็งซอง 2,700 ซอง/วัน",3360,เมืองสมุทรสาคร,-,-,10740007325474,26,74000,สมุทรสาคร,4,35/43,2565,2512.5,โคกขาม,บริษัท อุตสาหกรรมน้ำแข็ง ทวีวงษ์ จำกัด,26,22,3-14-73/47สค,บริษัท อุตสาหกรรมน้ำแข็ง ทวีวงษ์ จำกัด,9224,0
20000000,ทำน้ำแข็งได้วันละ 1218 ซอง,1170,เมืองสมุทรสาคร,วิเชียรโชฎก,,740200225374,7,74000,สมุทรสาคร,1,69/28,2565,672,ท่าจีน,บริษัท เทพปรานีน้ำแข็งและห้องเย็น จำกัด,7,23,ศ3-14-2/37สค,บริษัท เทพปรานีน้ำแข็งและห้องเย็น จำกัด,2520,0
18000000,การทำน้ำแข็งซอง ได้วันละ 1094 ซอง และการทำน้ำแข็งเกล็ด ได้วันละ 234 ตัน,1278,เมืองสมุทรสาคร,ธรรมคุณากร,,10740100125201,8,74000,สมุทรสาคร,,222/2,2565,2120,โกรกกราก,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งเกล็ดวรพันธุ์,8,24,3-14-1/20สค,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งเกล็ดวรพันธุ์,2756,0
12000000,ผลิตน้ำแข็งหลอด,1089,เมืองสมุทรสาคร,,,20740101725585,8,74000,สมุทรสาคร,4,,2565,565.5,คอกกระบือ,ม่วงศิริน้ำแข็ง,8,25,จ3-14-17/58สค,ม่วงศิริน้ำแข็ง,1600,0
41000000,"ทำน้ำแข็ง ได้วันละ 1,760 ซอง",3100,เมืองสมุทรสาคร,เอกชัย ,-,740000225368,75,74000,สมุทรสาคร,4,57/9,2565,2230,โคกขาม,บริษัท น้ำแข็งนำชัย จำกัด,70,26,ศ3-14-2/36สค,บริษัท น้ำแข็งนำชัย จำกัด,7980,5
31000000,ผลิตน้ำแข็งหลอด 100 ตัน/วันและน้ำดื่ม,3442,เมืองสมุทรสาคร,,,20740001625554,100,74000,สมุทรสาคร,4,149-150-151-151/1,2565,1069.5,ท่าทราย,บริษัท ไอซ์ เทคโนโลยี พรอไพรทารี จำกัด,72,27,จ3-14-16/55สค,บริษัท ไอซ์ เทคโนโลยี พรอไพรทารี จำกัด,41777,28
