เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
เมษายน,49392,1,2566,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เมษายน,1134,2,2566,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
เมษายน,13499,3,2566,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
เมษายน,171,4,2566,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
เมษายน,23,5,2566,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
เมษายน,7,6,2566,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
เมษายน,26,7,2566,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
เมษายน,137712,8,2566,รย. 12 รถจักรยานยนต์,รถยนต์
เมษายน,5067,9,2566,รย. 13 รถแทร็กเตอร์,รถยนต์
เมษายน,51,10,2566,รย. 14 รถบดถนน,รถยนต์
เมษายน,21,11,2566,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
เมษายน,83,12,2566,รย. 16 รถพ่วง,รถยนต์
เมษายน,112,13,2566,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
เมษายน,181,14,2566,รถโดยสารประจำทาง,รถขนส่ง
เมษายน,353,15,2566,รถโดยสารไม่ประจำทาง,รถขนส่ง
เมษายน,33,16,2566,รถโดยสารส่วนบุคคล,รถขนส่ง
เมษายน,2827,17,2566,รถบรรทุกไม่ประจำทาง,รถขนส่ง
เมษายน,2572,18,2566,รถบรรทุกส่วนบุคคล,รถขนส่ง
