ที่มา,_id,ปี,อำเภอ,จังหวัด,แรงงาน,หน่วย
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1,2565,รวมยอด,สมุทรปราการ,"277,981",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2,2565,เมืองสมุทรปราการ,สมุทรปราการ,"72,277",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,3,2565,บางบ่อ,สมุทรปราการ,"10,226",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,4,2565,บางพลี,สมุทรปราการ,"76,583",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,5,2565,พระประแดง,สมุทรปราการ,"54,188",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,6,2565,พระสมุทรเจดีย์,สมุทรปราการ,"24,115",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,7,2565,บางเสาธง,สมุทรปราการ,"40,592",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,8,2566,รวมยอด,สมุทรปราการ,"366,694",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,9,2566,เมืองสมุทรปราการ,สมุทรปราการ,"102,186",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,10,2566,บางบ่อ,สมุทรปราการ,"12,864",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,11,2566,บางพลี,สมุทรปราการ,"99,702",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,12,2566,พระประแดง,สมุทรปราการ,"66,109",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,13,2566,พระสมุทรเจดีย์,สมุทรปราการ,"29,832",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,14,2566,บางเสาธง,สมุทรปราการ,"56,001",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,15,2567,รวมยอด,สมุทรปราการ,"481,342",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,16,2567,เมืองสมุทรปราการ,สมุทรปราการ,"154,727",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,17,2567,บางบ่อ,สมุทรปราการ,"17,385",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,18,2567,บางพลี,สมุทรปราการ,"123,414",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,19,2567,พระประแดง,สมุทรปราการ,"72,583",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,20,2567,พระสมุทรเจดีย์,สมุทรปราการ,"35,820",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,21,2567,บางเสาธง,สมุทรปราการ,"77,413",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,22,2568,รวมยอด,สมุทรปราการ,"447,726",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,23,2568,เมืองสมุทรปราการ,สมุทรปราการ,"120,316",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,24,2568,บางบ่อ,สมุทรปราการ,"17,965",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,25,2568,บางพลี,สมุทรปราการ,"127,257",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,26,2568,พระประแดง,สมุทรปราการ,"76,033",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,27,2568,พระสมุทรเจดีย์,สมุทรปราการ,"38,156",คน
สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,28,2568,บางเสาธง,สมุทรปราการ,"67,999",คน
