ผู้มีงานทำ,_id,ผู้ว่างงาน,ปี/ไตรมาส
308917,1,9416,ไตรมาสที่ 1/63
309001,2,12057,ไตรมาสที่ 1/64
334161,3,11678,ไตรมาสที่ 1/65
345561,4,5988,ไตรมาสที่ 1/66
294112,5,16738,ไตรมาสที่ 2/63
316375,6,10273,ไตรมาสที่ 2/64
340348,7,6934,ไตรมาสที่ 2/65
339674,8,6695,ไตรมาสที่ 2/66
300875,9,9358,ไตรมาสที่ 3/63
301460,10,17444,ไตรมาสที่ 3/64
337331,11,8132,ไตรมาสที่ 3/65
339975,12,4832,ไตรมาสที่ 3/67
311909,13,12377,ไตรมาสที่ 4/63
311095,14,8751,ไตรมาสที่ 4/64
343097,15,5000,ไตรมาสที่ 4/65
343565,16,11856,ไตรมาสที่ 4/67
