_id,รายได้,ปี,ผลผลิต,ราคา
1,12845,2560,3113,4.13
2,9744,2561,3086,3.16
3,8801,2562,3123,2.82
4,13870,2563,2980,4.65
5,21026,2564,3074,6.84
6,30167,2565,3094,9.75
7,17528,2566,3246,5.4
8,19226,2567,3215,5.98
