จำนวนโรงงาน,ค่าข้อมูล (ปริมาณ),ความอันตราย,ที่มา,_id,ปี,พื้นที่,จำนวนรายการ,รายการ,หน่วย
6,"5,751.60",ไม่อันตราย,สำนักงานอุตสาหกรรมจังหวัดสตูล,1,2563,จังหวัดสตูล,24,ปริมาณกากของเสียอุตสาหกรรมที่เกิดขึ้น,เมตริกตัน
8,214.62,อันตราย,สำนักงานอุตสาหกรรมจังหวัดสตูล,2,2563,จังหวัดสตูล,42,ปริมาณกากของเสียอุตสาหกรรมที่เกิดขึ้น,เมตริกตัน
7,"7,395.80",ไม่อันตราย,สำนักงานอุตสาหกรรมจังหวัดสตูล,3,2564,จังหวัดสตูล,32,ปริมาณกากของเสียอุตสาหกรรมที่เกิดขึ้น,เมตริกตัน
8,202.8,อันตราย,สำนักงานอุตสาหกรรมจังหวัดสตูล,4,2564,จังหวัดสตูล,67,ปริมาณกากของเสียอุตสาหกรรมที่เกิดขึ้น,เมตริกตัน
10,"10,018.80",ไม่อันตราย,สำนักงานอุตสาหกรรมจังหวัดสตูล,5,2565,จังหวัดสตูล,28,ปริมาณกากของเสียอุตสาหกรรมที่เกิดขึ้น,เมตริกตัน
15,185.63,อันตราย,สำนักงานอุตสาหกรรมจังหวัดสตูล,6,2565,จังหวัดสตูล,59,ปริมาณกากของเสียอุตสาหกรรมที่เกิดขึ้น,เมตริกตัน
5,"5,114.30",ไม่อันตราย,สำนักงานอุตสาหกรรมจังหวัดสตูล,7,2566,จังหวัดสตูล,19,ปริมาณกากของเสียอุตสาหกรรมที่เกิดขึ้น,เมตริกตัน
12,207.22,อันตราย,สำนักงานอุตสาหกรรมจังหวัดสตูล,8,2566,จังหวัดสตูล,50,ปริมาณกากของเสียอุตสาหกรรมที่เกิดขึ้น,เมตริกตัน
