ค่าข้อมูล,ที่มา,_id,ปี,ชนิด,รายการ,จังหวัด,หน่วย
0.3,สำนักงานเกษตรจังหวัดมหาสารคาม,1,2565,กระเจี๊ยบเขียว,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
3,สำนักงานเกษตรจังหวัดมหาสารคาม,2,2565,กะเพรา,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
5,สำนักงานเกษตรจังหวัดมหาสารคาม,3,2565,กะหล่ำดอก,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
314,สำนักงานเกษตรจังหวัดมหาสารคาม,4,2565,กะหล่ำปลี,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
913,สำนักงานเกษตรจังหวัดมหาสารคาม,5,2565,ข้าวโพดรับประทานฝักสด,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
496,สำนักงานเกษตรจังหวัดมหาสารคาม,6,2565,ข้าวโพดหวาน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
309,สำนักงานเกษตรจังหวัดมหาสารคาม,7,2565,คะน้า,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
9,สำนักงานเกษตรจังหวัดมหาสารคาม,8,2565,ดอกขจร,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
89,สำนักงานเกษตรจังหวัดมหาสารคาม,9,2565,ตะไคร้,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
32,สำนักงานเกษตรจังหวัดมหาสารคาม,10,2565,แตงกวา,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
3418,สำนักงานเกษตรจังหวัดมหาสารคาม,11,2565,แตงโมเนื้อ,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
74,สำนักงานเกษตรจังหวัดมหาสารคาม,12,2565,ถั่วฝักยาว,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
299,สำนักงานเกษตรจังหวัดมหาสารคาม,13,2565,ผักกวางตุ้ง,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
49,สำนักงานเกษตรจังหวัดมหาสารคาม,14,2565,ผักชี,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
391,สำนักงานเกษตรจังหวัดมหาสารคาม,15,2565,ผักบุ้งจีน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
2,สำนักงานเกษตรจังหวัดมหาสารคาม,16,2565,มะเขือเทศบริโภคสด,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
112,สำนักงานเกษตรจังหวัดมหาสารคาม,17,2565,มะเขือเปราะ,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
7,สำนักงานเกษตรจังหวัดมหาสารคาม,18,2565,มะเขือพวง,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
136,สำนักงานเกษตรจังหวัดมหาสารคาม,19,2565,หอมแบ่ง (ต้นหอม),เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
116,สำนักงานเกษตรจังหวัดมหาสารคาม,20,2565,เห็ดขอนขาว,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
274,สำนักงานเกษตรจังหวัดมหาสารคาม,21,2565,พริกชี้ฟ้าแดง,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
5,สำนักงานเกษตรจังหวัดมหาสารคาม,22,2566,กะหล่ำดอก,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
821,สำนักงานเกษตรจังหวัดมหาสารคาม,23,2566,กะหล่ำปลี,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
203,สำนักงานเกษตรจังหวัดมหาสารคาม,24,2566,ข่า,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
613,สำนักงานเกษตรจังหวัดมหาสารคาม,25,2566,ข้าวโพดรับประทานฝักสด,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
420,สำนักงานเกษตรจังหวัดมหาสารคาม,26,2566,ข้าวโพดหวาน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
61,สำนักงานเกษตรจังหวัดมหาสารคาม,27,2566,คะน้า,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
22,สำนักงานเกษตรจังหวัดมหาสารคาม,28,2566,แตงกวา,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
3201,สำนักงานเกษตรจังหวัดมหาสารคาม,29,2566,แตงโมเนื้อ,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
296,สำนักงานเกษตรจังหวัดมหาสารคาม,30,2566,ถั่วฝักยาว,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
186,สำนักงานเกษตรจังหวัดมหาสารคาม,31,2566,ผักกวางตุ้ง,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
15,สำนักงานเกษตรจังหวัดมหาสารคาม,32,2566,ผักกาดหอม,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
94,สำนักงานเกษตรจังหวัดมหาสารคาม,33,2566,ผักชี,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
49,สำนักงานเกษตรจังหวัดมหาสารคาม,34,2566,ผักบุ้งจีน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
8,สำนักงานเกษตรจังหวัดมหาสารคาม,35,2566,มะเขือเทศบริโภคสด,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
79,สำนักงานเกษตรจังหวัดมหาสารคาม,36,2566,มะเขือเปราะ,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
87,สำนักงานเกษตรจังหวัดมหาสารคาม,37,2566,เห็ดนางฟ้า,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
2,สำนักงานเกษตรจังหวัดมหาสารคาม,38,2566,โหระพา,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
302,สำนักงานเกษตรจังหวัดมหาสารคาม,39,2566,พริกชี้ฟ้าแดง,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
26,สำนักงานเกษตรจังหวัดมหาสารคาม,40,2566,ผักชีลาว,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
28,สำนักงานเกษตรจังหวัดมหาสารคาม,41,2566,แตงร้าน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
2,สำนักงานเกษตรจังหวัดมหาสารคาม,42,2567,กะหล่ำดอก,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
701,สำนักงานเกษตรจังหวัดมหาสารคาม,43,2567,กะหล่ำปลี,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
125,สำนักงานเกษตรจังหวัดมหาสารคาม,44,2567,ข่า,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
911,สำนักงานเกษตรจังหวัดมหาสารคาม,45,2567,ข้าวโพดรับประทานฝัก,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
463,สำนักงานเกษตรจังหวัดมหาสารคาม,46,2567,ข้าวโพดหวาน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
80,สำนักงานเกษตรจังหวัดมหาสารคาม,47,2567,คะน้า,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
20,สำนักงานเกษตรจังหวัดมหาสารคาม,48,2567,แตงกวา,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
3509,สำนักงานเกษตรจังหวัดมหาสารคาม,49,2567,แตงโมเนื้อ,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
176,สำนักงานเกษตรจังหวัดมหาสารคาม,50,2567,ถั่วฝักยาว,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
248,สำนักงานเกษตรจังหวัดมหาสารคาม,51,2567,ผักกวางตุ้ง,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
12,สำนักงานเกษตรจังหวัดมหาสารคาม,52,2567,ผักกาดหอม,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
116,สำนักงานเกษตรจังหวัดมหาสารคาม,53,2567,ผักชี,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
56,สำนักงานเกษตรจังหวัดมหาสารคาม,54,2567,ผักบุ้งจีน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
4,สำนักงานเกษตรจังหวัดมหาสารคาม,55,2567,มะเขือเทศบริโภคสด,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
45,สำนักงานเกษตรจังหวัดมหาสารคาม,56,2567,มะเขือเปราะ,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
4580,สำนักงานเกษตรจังหวัดมหาสารคาม,57,2567,เห็ดนางฟ้า,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
322,สำนักงานเกษตรจังหวัดมหาสารคาม,58,2567,พริกชี้ฟ้าแดง,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
