จำนวน,ที่มา,_id,ปี,อำเภอ,จังหวัด,หน่วย
"71,580.22",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1,2565,เมืองสมุทรปราการ,สมุทรปราการ,ล้านบาท
"23,674.36",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2,2565,บางบ่อ,สมุทรปราการ,ล้านบาท
"77,470.94",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,3,2565,บางพลี,สมุทรปราการ,ล้านบาท
"67,413.90",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,4,2565,พระประแดง,สมุทรปราการ,ล้านบาท
"22,999.75",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,5,2565,พระสมุทรเจดีย์,สมุทรปราการ,ล้านบาท
"55,691.97",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,6,2565,บางเสาธง,สมุทรปราการ,ล้านบาท
"318,831.14",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,7,2565,รวมยอด,สมุทรปราการ,ล้านบาท
"105,002.45",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,8,2566,เมืองสมุทรปราการ,สมุทรปราการ,ล้านบาท
"27,202.61",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,9,2566,บางบ่อ,สมุทรปราการ,ล้านบาท
"100,741.96",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,10,2566,บางพลี,สมุทรปราการ,ล้านบาท
"83,815.11",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,11,2566,พระประแดง,สมุทรปราการ,ล้านบาท
"26,995.63",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,12,2566,พระสมุทรเจดีย์,สมุทรปราการ,ล้านบาท
"86,163.69",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,13,2566,บางเสาธง,สมุทรปราการ,ล้านบาท
"429,921.45",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,14,2566,รวมยอด,สมุทรปราการ,ล้านบาท
"272,188.65",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,15,2567,เมืองสมุทรปราการ,สมุทรปราการ,ล้านบาท
"52,319.58",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,16,2567,บางบ่อ,สมุทรปราการ,ล้านบาท
"144,822.47",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,17,2567,บางพลี,สมุทรปราการ,ล้านบาท
"93,073.17",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,18,2567,พระประแดง,สมุทรปราการ,ล้านบาท
"38,066.05",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,19,2567,พระสมุทรเจดีย์,สมุทรปราการ,ล้านบาท
"141,560.52",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,20,2567,บางเสาธง,สมุทรปราการ,ล้านบาท
"742,030.44",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,21,2567,รวมยอด,สมุทรปราการ,ล้านบาท
"123,110.17",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,22,2568,เมืองสมุทรปราการ,สมุทรปราการ,ล้านบาท
"32,844.33",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,23,2568,บางบ่อ,สมุทรปราการ,ล้านบาท
"155,248.73",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,24,2568,บางพลี,สมุทรปราการ,ล้านบาท
"95,482.87",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,25,2568,พระประแดง,สมุทรปราการ,ล้านบาท
"46,599.16",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,26,2568,พระสมุทรเจดีย์,สมุทรปราการ,ล้านบาท
"131,090.92",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,27,2568,บางเสาธง,สมุทรปราการ,ล้านบาท
"584,376.18",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,28,2568,รวมยอด,สมุทรปราการ,ล้านบาท
