ค่าข้อมูล,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
2,สำนักงานสาธารณสุขจังหวัดมหาสารคาม,1,2564,จำนวนโรงงานผลิตยาและผลิตภัณฑ์สมุนไพร ที่ผ่านการรับรองมาตรฐานการผลิตยา WHO GMP,มหาสารคาม,แห่ง
2,สำนักงานสาธารณสุขจังหวัดมหาสารคาม,2,2565,จำนวนโรงงานผลิตยาและผลิตภัณฑ์สมุนไพร ที่ผ่านการรับรองมาตรฐานการผลิตยา WHO GMP,มหาสารคาม,แห่ง
2,สำนักงานสาธารณสุขจังหวัดมหาสารคาม,3,2566,จำนวนโรงงานผลิตยาและผลิตภัณฑ์สมุนไพร ที่ผ่านการรับรองมาตรฐานการผลิตยา WHO GMP,มหาสารคาม,แห่ง
