จำนวน,_id,ปี,จำแนก,ราบการข้อมูล,หน่วย
" 854,573 ",1,2566,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 1,คน
" 564,048 ",2,2566,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 1,คน
" 532,853 ",3,2566,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 1,คน
" 31,195 ",4,2566,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 1,คน
" 528,094 ",5,2566,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 1,คน
" 4,759 ",6,2566,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 1,คน
" 290,525 ",7,2566,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 1,คน
" 58,419 ",8,2566,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 1,คน
" 81,505 ",9,2566,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 1,คน
" 120,290 ",10,2566,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 1,คน
" 30,311 ",11,2566,อื่นๆ,สถานภาพแรงงาน ไตรมาส 1,คน
" 854,154 ",12,2566,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 2,คน
" 545,730 ",13,2566,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 2,คน
" 533,472 ",14,2566,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 2,คน
" 12,258 ",15,2566,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 2,คน
" 531,848 ",16,2566,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 2,คน
" 1,624 ",17,2566,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 2,คน
" 308,424 ",18,2566,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 2,คน
" 68,941 ",19,2566,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 2,คน
" 79,863 ",20,2566,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 2,คน
" 129,195 ",21,2566,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 2,คน
