dic_id,description_thai,description_en,_id,data_type,field_name
1,ปี,-,1,text,year
2,อายุ,-,2,text,age group
3,"ระดับการศึกษา, การศึกษาของหัวหน้าครัวเรือน",-,3,text,level of educational attainment
4,สถานภาพการทำงาน,-,4,text,work status
5,ค่าข้อมูล,-,5,decimal,value
6,หน่วยนับ,-,6,text,unit
7,ที่มา(ระดับกรม),-,7,text,source
