﻿year,quarter,_id,value,unit,age_group,source
2556,ไตรมาส 1,1,3868.2,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,2,1729.39,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,3,711.04,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,4,548.96,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,5,493.3,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,6,1191.06,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,7,1655.99,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,8,5497.68,พันคน,>= 60 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2 ,9,3742.9,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2 ,10,1738.59,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2 ,11,716.29,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2 ,12,565.8,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2 ,13,504.31,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2 ,14,1067.67,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2 ,15,1603.75,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2 ,16,5536.99,พันคน,>= 60 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,17,3821.81,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,18,1723.08,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,19,691.8,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,20,613.28,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,21,533.11,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,22,1100.15,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,23,1593.08,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,24,5546.97,พันคน,>= 60 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,25,3859.95,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,26,1718.19,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,27,741.28,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,28,562.22,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,29,500.78,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,30,1118.36,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,31,1611.65,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,32,5653.85,พันคน,>= 60 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,33,3711.57,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,34,1704.46,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,35,618.58,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,36,522.62,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,37,514.25,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,38,1225.13,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,39,1724.02,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,40,6212.47,พันคน,>= 60 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2 ,41,3692.76,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2 ,42,1711.79,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2 ,43,651.11,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2 ,44,546.33,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2 ,45,545.27,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2 ,46,1210.29,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2 ,47,1719.24,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2 ,48,6274.81,พันคน,>= 60 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,49,3767.38,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,50,1658.27,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,51,618.26,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,52,542.17,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,53,532.02,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,54,1143.3,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,55,1629.98,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,56,6196.07,พันคน,>= 60 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,57,3764.83,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,58,1670.9,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,59,641.29,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,60,530.69,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,61,506.46,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,62,1186.7,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,63,1711.33,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 4,64,6383.08,พันคน,>= 60 ปี,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,65,3803.21,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,66,1772.95,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,67,587.54,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,68,506.53,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,69,549.46,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,70,1230.24,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,71,1784.73,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 1,72,6576.42,พันคน,>= 60 ปี,สำนักงานสถิติแห่งชาติ
