_id,ปี,ที่มา,ชนิดสัตว์,จำนวน,เดือน,หน่วย
1,2564,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคเนื้อ,91.37,ธันวาคม,บาท
2,2564,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคนม,18.1,ธันวาคม,บาท
3,2564,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,แพะ,128.75,ธันวาคม,บาท
4,2564,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,สุกร,75.57,ธันวาคม,บาท
5,2564,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,ไก่เนื้อ,35.92,ธันวาคม,บาท
6,2565,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคเนื้อ,93.89,ธันวาคม,บาท
7,2565,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคนม,18.15,ธันวาคม,บาท
8,2565,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,แพะ,127.83,ธันวาคม,บาท
9,2565,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,สุกร,98.72,ธันวาคม,บาท
10,2565,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,ไก่เนื้อ,40.01,ธันวาคม,บาท
11,2566,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคเนื้อ,80.63,ธันวาคม,บาท
12,2566,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคนม,19.66,ธันวาคม,บาท
13,2566,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,แพะ,115.24,ธันวาคม,บาท
14,2566,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,สุกร,71.99,ธันวาคม,บาท
15,2566,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,ไก่เนื้อ,41.84,ธันวาคม,บาท
16,2567,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคเนื้อ,73.77,ธันวาคม,บาท
17,2567,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคนม,20.26,ธันวาคม,บาท
18,2567,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,แพะ,115.25,ธันวาคม,บาท
19,2567,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,สุกร,69.23,ธันวาคม,บาท
20,2567,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,ไก่เนื้อ,42.06,ธันวาคม,บาท
21,2568,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคเนื้อ,71.93,ธันวาคม,บาท
22,2568,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โคนม,20.86,ธันวาคม,บาท
23,2568,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,แพะ,130.08,ธันวาคม,บาท
24,2568,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,สุกร,73.03,ธันวาคม,บาท
25,2568,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,ไก่เนื้อ,41.99,ธันวาคม,บาท
