เดือน,_id,ปี,ปริมาณผลผลิตข้าวโพด,หน่วย
มกราคม,1,2568,"13,046.0 ",ตัน
กุมภาพันธ์,2,2568,"164,748.0 ",ตัน
มีนาคม,3,2568,"60,094.0 ",ตัน
เมษายน,4,2568,"14,892.0 ",ตัน
พฤษภาคม,5,2568,"7,997.0 ",ตัน
มิถุนายน,6,2568,"6,481.0 ",ตัน
กรกฎาคม,7,2568,"17,134.0 ",ตัน
สิงหาคม,8,2568,"41,385.0 ",ตัน
กันยายน,9,2568,"150,139.0 ",ตัน
ตุลาคม,10,2568,"68,200.0 ",ตัน
พฤศจิกายน,11,2568,"210,160.0 ",ตัน
ธันวาคม,12,2568,"20,816.0 ",ตัน
