VALUE,QUARTER,SOURCE,_id,SEX,INDUSTRY,UNIT,REGION,YEAR
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,1,ชาย, กิจกรรมขององค์การระหว่างประเทศ,พันคน,ภาคกลาง,2563
0.1,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,2,หญิง, กิจกรรมขององค์การระหว่างประเทศ,พันคน,ภาคเหนือ,2563
15.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,3,ชาย, กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,ภาคใต้,2563
118.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,4,หญิง, การศึกษา,พันคน,กรุงเทพมหานคร,2563
65.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,5,ชาย, การศึกษา,พันคน,ภาคเหนือ,2563
9.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,6,หญิง, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
40.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,7,ชาย, กิจกรรมอสังหาริมทรัพย์,พันคน,กรุงเทพมหานคร,2563
83.3,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,8,หญิง,กิจกรรมทางการเงินและการประกันภัย,พันคน,ภาคกลาง,2563
9.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,9,ชาย,  ข้อมูลข่าวสารและการสื่อสาร,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
448.3,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,10,หญิง, การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,ภาคใต้,2563
576.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,11,ชาย, การก่อสร้าง,พันคน,ภาคกลาง,2563
67.4,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,12,หญิง, การก่อสร้าง,พันคน,ภาคเหนือ,2563
1320.0,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,13,ชาย,เกษตรกรรม การป่าไม้ และการประมง,พันคน,ภาคใต้,2563
3.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,14,หญิง,เกษตรกรรม การป่าไม้ และการประมง,พันคน,กรุงเทพมหานคร,2564
8.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,15,หญิง, ไม่ทราบ,พันคน,ภาคกลาง,2564
2.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,16,ชาย, กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
53.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,17,หญิง, กิจกรรมบริการด้านอื่น ๆ ,พันคน,ภาคใต้,2564
56.8,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,18,ชาย, ศิลปะ ความบันเทิง และนันทนาการ,พันคน,ภาคกลาง,2564
15.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,19,หญิง, ศิลปะ ความบันเทิง และนันทนาการ,พันคน,ภาคเหนือ,2564
32.7,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,20,ชาย, กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,ภาคใต้,2564
90.5,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,21,หญิง, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,กรุงเทพมหานคร,2564
19.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,22,ชาย, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,ภาคเหนือ,2564
6.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,23,หญิง,  ข้อมูลข่าวสารและการสื่อสาร,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
259.0,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,24,ชาย, ที่พักแรมและบริการด้านอาหาร,พันคน,กรุงเทพมหานคร,2564
105.7,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,25,หญิง, การขนส่ง และสถานที่เก็บสินค้า,พันคน,ภาคกลาง,2564
73.4,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,26,ชาย, การขนส่ง และสถานที่เก็บสินค้า,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
2.0,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,27,หญิง, การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,ภาคใต้,2564
29.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,28,ชาย, ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,ภาคกลาง,2565
5.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,29,หญิง, การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,ภาคเหนือ,2565
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,30,หญิง, ไม่ทราบ,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
12.7,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,31,ชาย, ไม่ทราบ,พันคน,กรุงเทพมหานคร,2565
0.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,32,หญิง, กิจกรรมขององค์การระหว่างประเทศ,พันคน,ภาคกลาง,2565
