Data,Unit,_id,Year,Source,List
"31,483",ไร่,1,2559,สำนักงานเกษตรจังหวัดอุบลราชธานี,เนื้อที่เพาะปลูกพืชเกษตรอินทรีย์
"57,399",ไร่,2,2560,สำนักงานเกษตรจังหวัดอุบลราชธานี,เนื้อที่เพาะปลูกพืชเกษตรอินทรีย์
"103,063",ไร่,3,2561,สำนักงานเกษตรจังหวัดอุบลราชธานี,เนื้อที่เพาะปลูกพืชเกษตรอินทรีย์
"162,252",ไร่,4,2562,สำนักงานเกษตรจังหวัดอุบลราชธานี,เนื้อที่เพาะปลูกพืชเกษตรอินทรีย์
"162,319",ไร่,5,2563,สำนักงานเกษตรจังหวัดอุบลราชธานี,เนื้อที่เพาะปลูกพืชเกษตรอินทรีย์
"177,416",ไร่,6,2564,สำนักงานเกษตรจังหวัดอุบลราชธานี,เนื้อที่เพาะปลูกพืชเกษตรอินทรีย์
