จำนวน,_id,ปี,Date,จังหวัด,หน่วย
125,1,2564,1 มกราคม 2021,ระยอง,แห่ง
747,2,2565,1 มกราคม 2022,ระยอง,แห่ง
1670,3,2566,1 มกราคม 2023,ระยอง,แห่ง
1625,4,2567,1 มกราคม 2024,ระยอง,แห่ง
1674,5,2568,1 มกราคม 2025,ระยอง,แห่ง
