เดือน,_id,ปี,ปริมาณผลผลิตน้ำนมดิบ,หน่วย
มกราคม,1,2568," 11,269,473.00 ",กิโลกรัม
กุมภาพันธ์,2,2568," 10,383,229.00 ",กิโลกรัม
มีนาคม,3,2568," 11,047,822.00 ",กิโลกรัม
เมษายน,4,2568," 10,865,770.00 ",กิโลกรัม
พฤษภาคม,5,2568," 10,905,368.00 ",กิโลกรัม
มิถุนายน,6,2568," 10,219,025.00 ",กิโลกรัม
กรกฎาคม,7,2568," 10,251,952.00 ",กิโลกรัม
สิงหาคม,8,2568," 9,913,747.00 ",กิโลกรัม
กันยายน,9,2568," 9,368,225.00 ",กิโลกรัม
ตุลาคม,10,2568," 978,967.00 ",กิโลกรัม
พฤศจิกายน,11,2568," 10,308,196.00 ",กิโลกรัม
ธันวาคม,12,2568," 11,050,618.00 ",กิโลกรัม
