จำนวน,ที่มา,จังหวัด,_id,ข้อมูล,อำเภอ,ปีงบประมาณ,หน่วยงาน,หน่วย
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,1,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,เทศบาลตำบลกระสัง,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,2,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,เทศบาลตำบลสองชั้น,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,3,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,เทศบาลตำบลหนองเต็ง,ตัน
0.12,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,4,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,เทศบาลตำบลอุดมธรรม,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,5,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,อบต.กันทรารมณ์,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,6,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,อบต.ชุมแสง,ตัน
3,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,7,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,อบต.บ้านปรือ,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,8,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,อบต.ลำดวน,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,9,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,อบต.ศรีภูมิ,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,10,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,อบต.สูงเนิน,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,11,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,กระสัง,2568,อบต.ห้วยสำราญ,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,12,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,คูเมือง,2568,เทศบาลตำบลคูเมือง,ตัน
57577.32,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,13,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,คูเมือง,2568,เทศบาลตำบลหินเหล็กไฟ,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,14,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,คูเมือง,2568,อบต.คูเมือง,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,15,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,คูเมือง,2568,อบต.ตูมใหญ่,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,16,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,คูเมือง,2568,อบต.บ้านแพ,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,17,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,คูเมือง,2568,อบต.ปะเคียบ,ตัน
0,สำนักงานท้องถิ่นจังหวัดบุรีรัมย์,บุรีรัมย์,18,ปริมาณกากอุตสาหกรรมกำจัดอย่างถูกต้อง,คูเมือง,2568,อบต.พรสำราญ,ตัน
