_id,ปี,อำเภอ,ตำบล,หน่วย,จังหวัด,จำนวนโรงงาน
1,2565,เมืองสมุทรสาคร,มหาชัย,โรงงาน,สมุทรสาคร,1
2,2565,เมืองสมุทรสาคร,ท่าฉลอม,โรงงาน,สมุทรสาคร,2
3,2565,เมืองสมุทรสาคร,บางโทรัด,โรงงาน,สมุทรสาคร,3
4,2565,เมืองสมุทรสาคร,กาหลง,โรงงาน,สมุทรสาคร,3
5,2565,เมืองสมุทรสาคร,นาโคก,โรงงาน,สมุทรสาคร,3
6,2565,เมืองสมุทรสาคร,ท่าจีน,โรงงาน,สมุทรสาคร,3
7,2565,เมืองสมุทรสาคร,นาดี,โรงงาน,สมุทรสาคร,15
8,2565,เมืองสมุทรสาคร,ท่าทราย,โรงงาน,สมุทรสาคร,13
9,2565,เมืองสมุทรสาคร,คอกกระบือ,โรงงาน,สมุทรสาคร,29
10,2565,เมืองสมุทรสาคร,บางน้ำจืด,โรงงาน,สมุทรสาคร,20
11,2565,เมืองสมุทรสาคร,พันท้ายนรสิงห์,โรงงาน,สมุทรสาคร,9
12,2565,เมืองสมุทรสาคร,โคกขาม,โรงงาน,สมุทรสาคร,10
13,2565,เมืองสมุทรสาคร,บ้านเกาะ,โรงงาน,สมุทรสาคร,12
14,2565,เมืองสมุทรสาคร,บางกระเจ้า,โรงงาน,สมุทรสาคร,9
15,2565,เมืองสมุทรสาคร,บางหญ้าแพรก,โรงงาน,สมุทรสาคร,9
16,2565,เมืองสมุทรสาคร,ชัยมงคล,โรงงาน,สมุทรสาคร,3
17,2565,กระทุ่มแบน,อ้อมน้อย,โรงงาน,สมุทรสาคร,13
18,2565,กระทุ่มแบน,ท่าไม้,โรงงาน,สมุทรสาคร,7
19,2565,กระทุ่มแบน,สวนหลวง,โรงงาน,สมุทรสาคร,6
20,2565,กระทุ่มแบน,คลองมะเดื่อ,โรงงาน,สมุทรสาคร,3
21,2565,กระทุ่มแบน,ดอนไก่ดี,โรงงาน,สมุทรสาคร,3
22,2565,กระทุ่มแบน,แคราย,โรงงาน,สมุทรสาคร,11
23,2565,กระทุ่มแบน,ท่าเสา,โรงงาน,สมุทรสาคร,10
24,2565,บ้านแพ้ว,บ้านแพ้ว,โรงงาน,สมุทรสาคร,1
25,2565,บ้านแพ้ว,หลักสาม,โรงงาน,สมุทรสาคร,1
26,2565,บ้านแพ้ว,สวนส้ม,โรงงาน,สมุทรสาคร,1
27,2566,เมืองสมุทรสาคร,มหาชัย,โรงงาน,สมุทรสาคร,1
28,2566,เมืองสมุทรสาคร,บางโทรัด,โรงงาน,สมุทรสาคร,3
29,2566,เมืองสมุทรสาคร,กาหลง,โรงงาน,สมุทรสาคร,4
30,2566,เมืองสมุทรสาคร,นาโคก,โรงงาน,สมุทรสาคร,5
31,2566,เมืองสมุทรสาคร,ท่าจีน,โรงงาน,สมุทรสาคร,1
32,2566,เมืองสมุทรสาคร,นาดี,โรงงาน,สมุทรสาคร,24
33,2566,เมืองสมุทรสาคร,ท่าทราย,โรงงาน,สมุทรสาคร,8
34,2566,เมืองสมุทรสาคร,คอกกระบือ,โรงงาน,สมุทรสาคร,40
35,2566,เมืองสมุทรสาคร,บางน้ำจืด,โรงงาน,สมุทรสาคร,18
36,2566,เมืองสมุทรสาคร,พันท้ายนรสิงห์,โรงงาน,สมุทรสาคร,12
37,2566,เมืองสมุทรสาคร,โคกขาม,โรงงาน,สมุทรสาคร,15
38,2566,เมืองสมุทรสาคร,บ้านเกาะ,โรงงาน,สมุทรสาคร,25
39,2566,เมืองสมุทรสาคร,บางกระเจ้า,โรงงาน,สมุทรสาคร,6
40,2566,เมืองสมุทรสาคร,บางหญ้าแพรก,โรงงาน,สมุทรสาคร,10
41,2566,เมืองสมุทรสาคร,ชัยมงคล,โรงงาน,สมุทรสาคร,7
42,2566,กระทุ่มแบน,อ้อมน้อย,โรงงาน,สมุทรสาคร,13
43,2566,กระทุ่มแบน,ท่าไม้,โรงงาน,สมุทรสาคร,6
44,2566,กระทุ่มแบน,สวนหลวง,โรงงาน,สมุทรสาคร,8
45,2566,กระทุ่มแบน,คลองมะเดื่อ,โรงงาน,สมุทรสาคร,7
46,2566,กระทุ่มแบน,ดอนไก่ดี,โรงงาน,สมุทรสาคร,3
47,2566,กระทุ่มแบน,แคราย,โรงงาน,สมุทรสาคร,7
48,2566,กระทุ่มแบน,ท่าเสา,โรงงาน,สมุทรสาคร,14
49,2566,บ้านแพ้ว,บ้านแพ้ว,โรงงาน,สมุทรสาคร,1
50,2566,บ้านแพ้ว,สวนส้ม,โรงงาน,สมุทรสาคร,1
51,2567,เมืองสมุทรสาคร,ท่าฉลอม,โรงงาน,สมุทรสาคร,1
52,2567,เมืองสมุทรสาคร,บางโทรัด,โรงงาน,สมุทรสาคร,4
53,2567,เมืองสมุทรสาคร,กาหลง,โรงงาน,สมุทรสาคร,5
54,2567,เมืองสมุทรสาคร,นาโคก,โรงงาน,สมุทรสาคร,3
55,2567,เมืองสมุทรสาคร,ท่าจีน,โรงงาน,สมุทรสาคร,5
56,2567,เมืองสมุทรสาคร,นาดี,โรงงาน,สมุทรสาคร,19
57,2567,เมืองสมุทรสาคร,ท่าทราย,โรงงาน,สมุทรสาคร,11
58,2567,เมืองสมุทรสาคร,คอกกระบือ,โรงงาน,สมุทรสาคร,13
59,2567,เมืองสมุทรสาคร,บางน้ำจืด,โรงงาน,สมุทรสาคร,8
60,2567,เมืองสมุทรสาคร,พันท้ายนรสิงห์,โรงงาน,สมุทรสาคร,6
61,2567,เมืองสมุทรสาคร,โคกขาม,โรงงาน,สมุทรสาคร,8
62,2567,เมืองสมุทรสาคร,บ้านเกาะ,โรงงาน,สมุทรสาคร,19
63,2567,เมืองสมุทรสาคร,บางกระเจ้า,โรงงาน,สมุทรสาคร,8
64,2567,เมืองสมุทรสาคร,บางหญ้าแพรก,โรงงาน,สมุทรสาคร,10
65,2567,เมืองสมุทรสาคร,ชัยมงคล,โรงงาน,สมุทรสาคร,2
66,2567,กระทุ่มแบน,อ้อมน้อย,โรงงาน,สมุทรสาคร,9
67,2567,กระทุ่มแบน,ท่าไม้,โรงงาน,สมุทรสาคร,10
68,2567,กระทุ่มแบน,สวนหลวง,โรงงาน,สมุทรสาคร,4
