AGE_GROUP,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,YEAR
15-19 ปี,371.97,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,ชาย,พันคน,2567
15-19 ปี,167.29,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,หญิง,พันคน,2567
20-24 ปี,1784.32,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,ชาย,พันคน,2567
20-24 ปี,1369.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,หญิง,พันคน,2567
25-29 ปี,2468.35,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,ชาย,พันคน,2567
25-29 ปี,2144.02,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,หญิง,พันคน,2567
30-34 ปี,2420.46,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,ชาย,พันคน,2567
30-34 ปี,2103.52,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,หญิง,พันคน,2567
35-39 ปี,2255.83,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,9,ชาย,พันคน,2567
35-39 ปี,1994.84,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,10,หญิง,พันคน,2567
40-49 ปี,4826.33,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,11,ชาย,พันคน,2567
40-49 ปี,4326.67,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,12,หญิง,พันคน,2567
50-59 ปี,4706.28,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,13,ชาย,พันคน,2567
50-59 ปี,4055.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,14,หญิง,พันคน,2567
60 ปีขึ้นไป,2889.28,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,15,ชาย,พันคน,2567
60 ปีขึ้นไป,2342.56,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,16,หญิง,พันคน,2567
15-19 ปี,363.82,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,17,ชาย,พันคน,2567
15-19 ปี,175.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,18,หญิง,พันคน,2567
20-24 ปี,1774.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,19,ชาย,พันคน,2567
20-24 ปี,1401.31,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,20,หญิง,พันคน,2567
25-29 ปี,2460.73,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,21,ชาย,พันคน,2567
25-29 ปี,2158.74,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,22,หญิง,พันคน,2567
30-34 ปี,2427.31,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,23,ชาย,พันคน,2567
30-34 ปี,2080.29,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,24,หญิง,พันคน,2567
35-39 ปี,2266.41,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,25,ชาย,พันคน,2567
35-39 ปี,2018.47,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,26,หญิง,พันคน,2567
40-49 ปี,4814.37,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,27,ชาย,พันคน,2567
40-49 ปี,4319.32,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,28,หญิง,พันคน,2567
50-59 ปี,4708.65,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,29,ชาย,พันคน,2567
50-59 ปี,4069.31,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,30,หญิง,พันคน,2567
60 ปีขึ้นไป,2860.47,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,31,ชาย,พันคน,2567
60 ปีขึ้นไป,2279.58,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,32,หญิง,พันคน,2567
15-19 ปี,341.14,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,33,ชาย,พันคน,2567
15-19 ปี,149.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,34,หญิง,พันคน,2567
20-24 ปี,1770.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,35,ชาย,พันคน,2567
20-24 ปี,1411.47,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,36,หญิง,พันคน,2567
25-29 ปี,2481.38,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,37,ชาย,พันคน,2567
25-29 ปี,2141.14,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,38,หญิง,พันคน,2567
30-34 ปี,2440.81,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,39,ชาย,พันคน,2567
30-34 ปี,2129.34,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,40,หญิง,พันคน,2567
35-39 ปี,2264.63,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,41,ชาย,พันคน,2567
35-39 ปี,2024.85,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,42,หญิง,พันคน,2567
40-49 ปี,4774.41,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,43,ชาย,พันคน,2567
40-49 ปี,4401.31,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,44,หญิง,พันคน,2567
50-59 ปี,4718.03,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,45,ชาย,พันคน,2567
50-59 ปี,4161.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,46,หญิง,พันคน,2567
60 ปีขึ้นไป,2900.68,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,47,ชาย,พันคน,2567
60 ปีขึ้นไป,2374.04,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,48,หญิง,พันคน,2567
15-19 ปี,340.21,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,49,ชาย,พันคน,2567
15-19 ปี,136.84,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,50,หญิง,พันคน,2567
20-24 ปี,1781.13,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,51,ชาย,พันคน,2567
20-24 ปี,1411.36,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,52,หญิง,พันคน,2567
25-29 ปี,2502.42,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,53,ชาย,พันคน,2567
25-29 ปี,2133.25,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,54,หญิง,พันคน,2567
30-34 ปี,2443.69,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,55,ชาย,พันคน,2567
30-34 ปี,2156.03,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,56,หญิง,พันคน,2567
35-39 ปี,2256.46,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,57,ชาย,พันคน,2567
35-39 ปี,2016.07,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,58,หญิง,พันคน,2567
40-49 ปี,4761.28,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,59,ชาย,พันคน,2567
40-49 ปี,4319.41,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,60,หญิง,พันคน,2567
50-59 ปี,4729.01,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,61,ชาย,พันคน,2567
50-59 ปี,4131.82,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,62,หญิง,พันคน,2567
60 ปีขึ้นไป,2973.35,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,63,ชาย,พันคน,2567
60 ปีขึ้นไป,2445.34,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,64,หญิง,พันคน,2567
15-19 ปี,354.26,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,65,ชาย,พันคน,2568
