จำนวน,_id,ปี,อำเภอ
60,1,2568,เมืองตาก
0,2,2568,บ้านตาก
72,3,2568,สามเงา
805,4,2568,แม่ระมาด
1,5,2568,ท่าสองยาง
"1,003",6,2568,แม่สอด
9,7,2568,พบพระ
0,8,2568,อุ้มผาง
312,9,2568,วังเจ้า
50,10,2567,เมืองตาก
0,11,2567,บ้านตาก
66,12,2567,สามเงา
651,13,2567,แม่ระมาด
1,14,2567,ท่าสองยาง
885,15,2567,แม่สอด
6,16,2567,พบพระ
0,17,2567,อุ้มผาง
288,18,2567,วังเจ้า
40,19,2566,เมืองตาก
0,20,2566,บ้านตาก
78,21,2566,สามเงา
658,22,2566,แม่ระมาด
876,23,2566,ท่าสองยาง
9,24,2566,แม่สอด
1,25,2566,พบพระ
0,26,2566,อุ้มผาง
262,27,2566,วังเจ้า
