จำนวน,_id,ปี,ชื่อโรงงาน,แหล่งที่มา,เงื่อนไข,อำเภอ,รายการ,จังหวัด,หน่วย
1,1,2566, บริษัท อุดรพรทิพย์ก่อสร้าง (1992) จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,2,2566,เกียรติพงษ์รัตน์ วัสดุก่อสร้าง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,3,2566,นายสรวิชญ์ แขกเมฆ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นาวัง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,4,2566,บริษัท ณัช รีไซเคิล (2020) จำกัด ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,105,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,5,2566,บริษัท นอร์ทอีสท์ คอนกรีท จำกัดบริษัท นอร์ทอีสท์ คอนกรีท จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,6,2566,บริษัท บ้านวัสดุคอนกรีต จำกัดบริษัท บ้านวัสดุคอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,โนนสัง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,7,2566,บริษัท เบสท์-แพค คอนกรีต จำกัดบริษัท เบสท์-แพค คอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,8,2566,บริษัท พรทิพย์วัสดุก่อสร้าง จำกัดบริษัท พรทิพย์วัสดุก่อสร้าง จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,9,2566,บริษัท พีพีพี รีไซคลิ่ง จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,10,2566,บริษัท ไพโรจน์คอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,11,2566,บริษัท ไพโรจน์คอนกรีต จำกัดบริษัท ไพโรจน์คอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,12,2566,บริษัท หนองบัวลำภูคอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,13,2566,บุญมาโฮม,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,14,2566,พาเจริญวัสดุก่อสร้างพาเจริญวัสดุก่อสร้าง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,15,2566,ร้านทรัพย์ทวีวัสดุร้านทรัพย์ทวีวัสดุ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,16,2566,ร้านศรีทองวัสดุ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,17,2566,วิรัช คอนกรีต 2013วิรัช คอนกรีต 2013,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,18,2566,ศรีบุญเรืองนครคอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,19,2566,ส.เกลียวทองส.เกลียวทอง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
