จำนวน,_id,ปี,ลำดับ,อำเภอ
9,1,2568,1,น้ำพอง
19,2,2568,2,บ้านไผ่
1,3,2568,3,ชนบท
9,4,2568,4,พล
19,5,2568,5,เมืองขอนแก่น
4,6,2568,6,กระนวน
9,7,2568,7,ชุมแพ
1,8,2568,8,พระยืน
1,9,2568,9,โนนศิลา
1,10,2568,10,ซำสูง
2,11,2568,11,บ้านแฮด
1,12,2568,12,หนองเรือ
2,13,2568,13,หนองสองห้อง
7,14,2568,14,เขาสวนกวาง
1,15,2568,15,มัญจาคีรี
0,16,2568,16,เวียงเก่า
0,17,2568,17,บ้านฝาง
0,18,2568,18,อุบลรัตน์
0,19,2568,19,ภูเวียง
0,20,2568,20,แวงใหญ่
0,21,2568,21,โคกโพธิ์ไชย
0,22,2568,22,เปือยน้อย
0,23,2568,23,หนองนาคำ
0,24,2568,24,แวงน้อย
0,25,2568,25,ภูผาม่าน
0,26,2568,26,สีชมพู
,27,,,
,28,ข้อมูล ณ วันที่ 17 กุมภาพันธ์ 2568,,
