ชั่วโมงทำงาน,ที่มา,_id,ปี,หญิง,ชาย,ไตรมาส,หน่วย
น้อยกว่า 1 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,1,2566,57,"1,371",ไตรมาส 1,คน
1 - 9 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,2,2566,0,752,ไตรมาส 1,คน
10 - 19 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,3,2566,"10,679","6,074",ไตรมาส 1,คน
20 - 29 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,4,2566,"37,716","45,121",ไตรมาส 1,คน
30 - 34 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,5,2566,"18,773","15,774",ไตรมาส 1,คน
35 - 39 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,6,2566,"22,680","29,392",ไตรมาส 1,คน
40 - 49 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,7,2566,"69,171","72,052",ไตรมาส 1,คน
50 ชั่วโมงขึ้นไป,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,8,2566,"54,157","66,609",ไตรมาส 1,คน
น้อยกว่า 1 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,9,2566,482,"1,324",ไตรมาส 2,คน
1 - 9 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,10,2566,443,911,ไตรมาส 2,คน
10 - 19 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,11,2566,"15,791","12,048",ไตรมาส 2,คน
20 - 29 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,12,2566,"40,736","44,409",ไตรมาส 2,คน
30 - 34 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,13,2566,"17,749","14,644",ไตรมาส 2,คน
35 - 39 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,14,2566,"24,380","34,136",ไตรมาส 2,คน
40 - 49 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,15,2566,"72,866","86,484",ไตรมาส 2,คน
50 ชั่วโมงขึ้นไป,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,16,2566,"47,455","56,359",ไตรมาส 2,คน
น้อยกว่า 1 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,17,2566,0,0,ไตรมาส3,คน
1 - 9 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,18,2566,"3,957","3,093",ไตรมาส3,คน
10 - 19 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,19,2566,"13,332","14,043",ไตรมาส3,คน
20 - 29 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,20,2566,"31,445","39,891",ไตรมาส3,คน
30 - 34 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,21,2566,"20,292","26,058",ไตรมาส3,คน
35 - 39 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,22,2566,"40,049","41,735",ไตรมาส3,คน
40 - 49 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,23,2566,"73,117","83,232",ไตรมาส3,คน
50 ชั่วโมงขึ้นไป,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,24,2566,"53,447","62,794",ไตรมาส3,คน
น้อยกว่า 1 ชั่วโมง,โครงการสำรวจภาวะการทำงานของประชากร สำนักงานสถิติจังฟวักสุรินทร์,25,2566,557,109,ไตรมาส 4,คน
