_id,ปี,จำนวน,หน่วย,รายการ
1,2566,1.5,ร้อยละ,มูลค่าสินค้าเกษตรและสินค้าเกษตรมูลค่าสูง
2,2567,2,ร้อยละ,มูลค่าสินค้าเกษตรและสินค้าเกษตรมูลค่าสูง
3,2568,2,ร้อยละ,มูลค่าสินค้าเกษตรและสินค้าเกษตรมูลค่าสูง
