_id,ปี,ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ผลผลิต,ผลผลิตเฉลี่ย
1,2560,69.1,3073.77,34911,44483,1796
2,2561,69.79,2718.39,36893,38951,1610
3,2562,95,4575.01,40439,48358,1846
4,2563,100.84,5564.04,45239,55176,1993
5,2564,110.49,6280.69,59199,56844,1773
