Unemployed F,Studies M,Others T,Persons not in labour force T,Others M,Unemployment rate F,province,Unemployed T,Persons not in labour force F,Studies F,Persons not in labour force M,Quarter,Unemployment rate T,Employed T,year,Employed M,Seasonally inactive M,Studies T,Others F,Seasonally inactive F,_id,Current labour force M,Employed F,Unemployment rate M,Unemployed M,Current labour force F,Seasonally inactive T,Household work T,Current labour force T,Household work F,Household work M
4559,17013,67287,162425,32914,3.1,Narathiwat,9433,112064,23787,50362,1,2.73,335181,2560,193114, - ,40800,34372,364.0,1,197988,142068,2.46,4875,146990,364.0,54339,344979,53904,434.0
5504,18186,73970,172460,38611,3.82,Narathiwat,16819,115567,24657,56893,2,5.01,319093,2560,180562, - ,42843,35359, - ,2,191877,138530,5.9,11315,144035, - ,55647,335912,55551,96.0
5432,18266,84809,193594,42059,4.28,Narathiwat,16329,133060,22834,60534,3,5.17,299453,2560,177818, - ,41100,42750, - ,3,188715,121635,5.77,10896,127067, - ,67685,315782,67475,210.0
8046,19815,84411,194352,41993,6.29,Narathiwat,23157,132543,23100,61809,4,7.33,292663,2560,172754, - ,42915,42417, - ,4,187864,119909,8.04,15111,127956, - ,67026,315820,67026, - 
4035,17300,70418,176212,34907,2.95,Narathiwat,16664,124005,28658,52207,1,4.98,318032,2561,185122,139.0,45958,35511, - ,5,197751,132910,6.39,12629,136945,139.0,59836,334696,59836, - 
9118,15879,72163,172115,36843,6.39,Narathiwat,21276,118679,23239,53436,2,6.26,318505,2561,184933, - ,39118,35320, - ,6,197091,133572,6.17,12157,142690, - ,60834,339781,60120,714.0
7111,17968,76616,170526,35278,4.9,Narathiwat,20436,116743,22553,53783,3,5.97,321768,2561,183823, - ,40521,41338, - ,7,197148,137945,6.76,13325,145055, - ,53389,342203,52852,537.0
7992,19753,71074,168818,32831,5.47,Narathiwat,23318,116233,23958,52584,4,6.76,321474,2561,183428, - ,43711,38243, - ,8,198753,138046,7.71,15326,146038, - ,54032,344791,54032,
8024,20643,70892,179608,33706,5.84,Narathiwat,16850,125259,25672,54349,1,5.03,317683,2562,188218,408.0,46316,37187, - ,9,197452,129465,4.47,8826,137489,408.0,62400,334941,62400, - 
2490,21581,75972,187482,38936,1.82,Narathiwat,7253,126075,25439,61406,2,2.21,320602,2562,185938,121.0,47021,37037, - ,10,190823,134664,2.5,4763,137154,121.0,64488,327976,63599,889.0
2387,19436,76063,183814,38644,1.73,Narathiwat,9742,125566,24130,58248,3,2.93,321006,2562,185900,1120.0,43566,37419,614.0,11,194375,135106,3.78,7355,138108,1735.0,64185,332483,64017,169.0
5348,17314,65347,182853,31670,4.1,Narathiwat,20864,133595,25093,49258,4,6.24,312808,2562,187712,460.0,42407,33677, - ,12,203688,125096,7.62,15516,130444,460.0,75099,334132,74825,274.0
5891,23206,54987,169490,23264,4.15,Narathiwat,18610,122507,25726,46983,1,5.34,329580,2563,193568, - ,48932,31723, - ,13,206287,136012,6.17,12719,141903, - ,65571,348190,65058,513.0
7245,20972,58872,174291,26466,5.21,Narathiwat,23455,125765,24660,48526,2,6.82,320652,2563,188873, - ,45632,32407, - ,14,205083,131779,7.9,16210,139024, - ,69787,344107,68698,1088.0
6755,21876,60851,173709,27627,4.79,Narathiwat,22996,124206,26609,49503,3,6.66,321965,2563,187759,449.0,48485,33224, - ,15,204449,134206,7.94,16241,140961,449.0,64373,345410,64373, - 
11779,18898,59992,176082,27880,8.64,Narathiwat,31474,129304,26713,46778,4,9.15,312334,2563,187854, - ,45612,32112, - ,16,207550,124480,9.49,19696,136258, - ,70478,343808,70478, - 
8234,24714,68265,188072,32261,6.09,Narathiwat,31089,130837,28411,57235,1,9.35,301113,2564,174217,392.0,53125,36004, - ,17,197463,126896,11.57,22855,135130,392.0,66681,332593,66421,260.0
