เจ้าของข้อมูล,_id,ปี,ค่า,หน่วย
สำนักงานอุตสาหกรรมจังหวัดสุรินทร์,1,2563,1,แห่ง
สำนักงานอุตสาหกรรมจังหวัดสุรินทร์,2,2564,1,แห่ง
สำนักงานอุตสาหกรรมจังหวัดสุรินทร์,3,2565,1,แห่ง
สำนักงานอุตสาหกรรมจังหวัดสุรินทร์,4,2566,1,แห่ง
สำนักงานอุตสาหกรรมจังหวัดสุรินทร์,5,2567,1,แห่ง
