จำนวน,_id,ปี,เพศ,ไตรมาส,หน่วย
0.7,1,2564,ชาย,ไตรมาส1,ร้อยล่ะ
0.7,2,2564,ชาย,ไตรมาส2,ร้อยล่ะ
0.7,3,2564,ชาย,ไตรมาส3,ร้อยล่ะ
0.8,4,2564,ชาย,ไตรมาส4,ร้อยล่ะ
1.1,5,2564,หญิง,ไตรมาส1,ร้อยล่ะ
1.1,6,2564,หญิง,ไตรมาส2,ร้อยล่ะ
1.2,7,2564,หญิง,ไตรมาส3,ร้อยล่ะ
0.2,8,2564,หญิง,ไตรมาส4,ร้อยล่ะ
0.7,9,2565,ชาย,ไตรมาส1,ร้อยล่ะ
0.8,10,2565,ชาย,ไตรมาส2,ร้อยล่ะ
0.1,11,2565,ชาย,ไตรมาส3,ร้อยล่ะ
0.3,12,2565,ชาย,ไตรมาส4,ร้อยล่ะ
0.5,13,2565,หญิง,ไตรมาส1,ร้อยล่ะ
0.7,14,2565,หญิง,ไตรมาส2,ร้อยล่ะ
1.3,15,2565,หญิง,ไตรมาส3,ร้อยล่ะ
1.3,16,2565,หญิง,ไตรมาส4,ร้อยล่ะ
1,17,2566,ชาย,ไตรมาส1,ร้อยล่ะ
0.4,18,2566,ชาย,ไตรมาส2,ร้อยล่ะ
0.9,19,2566,ชาย,ไตรมาส3,ร้อยล่ะ
0.5,20,2566,ชาย,ไตรมาส4,ร้อยล่ะ
0.5,21,2566,หญิง,ไตรมาส1,ร้อยล่ะ
0.7,22,2566,หญิง,ไตรมาส2,ร้อยล่ะ
0.6,23,2566,หญิง,ไตรมาส3,ร้อยล่ะ
0.6,24,2566,หญิง,ไตรมาส4,ร้อยล่ะ
0.1,25,2567,ชาย,ไตรมาส1,ร้อยล่ะ
-,26,2567,หญิง,ไตรมาส1,ร้อยล่ะ
