จำนวน,_id,ปี,อำเภอ,หน่วย
16,1,2567,เมืองสุโขทัย,ไร่
4,2,2567,บ้านด่านลานหอย,ไร่
2,3,2567,คีรีมาศ,ไร่
23,4,2567,กงไกรลาศ,ไร่
5,5,2567,ศรีสัชนาลัย,ไร่
8,6,2567,ศรีสำโรง,ไร่
9,7,2567,สวรรคโลก,ไร่
0,8,2567,ศรีนคร,ไร่
11,9,2567,ทุ่งเสลี่ยม,ไร่
16,10,2566,เมืองสุโขทัย,ไร่
4,11,2566,บ้านด่านลานหอย,ไร่
2,12,2566,คีรีมาศ,ไร่
23,13,2566,กงไกรลาศ,ไร่
5,14,2566,ศรีสัชนาลัย,ไร่
8,15,2566,ศรีสำโรง,ไร่
9,16,2566,สวรรคโลก,ไร่
0,17,2566,ศรีนคร,ไร่
11,18,2566,ทุ่งเสลี่ยม,ไร่
34,19,2565,เมืองสุโขทัย,ไร่
9,20,2565,บ้านด่านลานหอย,ไร่
22,21,2565,คีรีมาศ,ไร่
6,22,2565,กงไกรลาศ,ไร่
24,23,2565,ศรีสัชนาลัย,ไร่
3,24,2565,ศรีสำโรง,ไร่
70,25,2565,สวรรคโลก,ไร่
8,26,2565,ศรีนคร,ไร่
66,27,2565,ทุ่งเสลี่ยม,ไร่
17,28,2564,เมืองสุโขทัย,ไร่
459,29,2564,บ้านด่านลานหอย,ไร่
204,30,2564,คีรีมาศ,ไร่
0,31,2564,กงไกรลาศ,ไร่
"1,712",32,2564,ศรีสัชนาลัย,ไร่
13,33,2564,ศรีสำโรง,ไร่
86,34,2564,สวรรคโลก,ไร่
33,35,2564,ศรีนคร,ไร่
699,36,2564,ทุ่งเสลี่ยม,ไร่
6,37,2563,เมืองสุโขทัย,ไร่
10,38,2563,บ้านด่านลานหอย,ไร่
1,39,2563,คีรีมาศ,ไร่
1,40,2563,กงไกรลาศ,ไร่
10,41,2563,ศรีสัชนาลัย,ไร่
5,42,2563,ศรีสำโรง,ไร่
0,43,2563,สวรรคโลก,ไร่
0,44,2563,ศรีนคร,ไร่
0,45,2563,ทุ่งเสลี่ยม,ไร่
15,46,2562,เมืองสุโขทัย,ไร่
0,47,2562,บ้านด่านลานหอย,ไร่
0,48,2562,คีรีมาศ,ไร่
0,49,2562,กงไกรลาศ,ไร่
0,50,2562,ศรีสัชนาลัย,ไร่
0,51,2562,ศรีสำโรง,ไร่
0,52,2562,สวรรคโลก,ไร่
0,53,2562,ศรีนคร,ไร่
0,54,2562,ทุ่งเสลี่ยม,ไร่
47,55,2561,เมืองสุโขทัย,ไร่
6,56,2561,บ้านด่านลานหอย,ไร่
0,57,2561,คีรีมาศ,ไร่
0,58,2561,กงไกรลาศ,ไร่
0,59,2561,ศรีสัชนาลัย,ไร่
0,60,2561,ศรีสำโรง,ไร่
0,61,2561,สวรรคโลก,ไร่
0,62,2561,ศรีนคร,ไร่
10,63,2561,ทุ่งเสลี่ยม,ไร่
0,64,2560,เมืองสุโขทัย,ไร่
0,65,2560,บ้านด่านลานหอย,ไร่
20,66,2560,คีรีมาศ,ไร่
0,67,2560,กงไกรลาศ,ไร่
0,68,2560,ศรีสัชนาลัย,ไร่
0,69,2560,ศรีสำโรง,ไร่
0,70,2560,สวรรคโลก,ไร่
0,71,2560,ศรีนคร,ไร่
0,72,2560,ทุ่งเสลี่ยม,ไร่
