ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
293,สำนักงานแรงงานจังหวัดมหาสารคาม,1,2564,อำเภอเมืองมหาสารคาม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
39,สำนักงานแรงงานจังหวัดมหาสารคาม,2,2564,อำเภอแกดำ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
727,สำนักงานแรงงานจังหวัดมหาสารคาม,3,2564,อำเภอโกสุมพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
193,สำนักงานแรงงานจังหวัดมหาสารคาม,4,2564,อำเภอกันทรวิชัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
270,สำนักงานแรงงานจังหวัดมหาสารคาม,5,2564,อำเภอเชียงยืน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
207,สำนักงานแรงงานจังหวัดมหาสารคาม,6,2564,อำเภอบรบือ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
78,สำนักงานแรงงานจังหวัดมหาสารคาม,7,2564,อำเภอนาเชือก,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
742,สำนักงานแรงงานจังหวัดมหาสารคาม,8,2564,อำเภอพยัคฆภูมิพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
366,สำนักงานแรงงานจังหวัดมหาสารคาม,9,2564,อำเภอวาปีปทุม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
55,สำนักงานแรงงานจังหวัดมหาสารคาม,10,2564,อำเภอนาดูน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
97,สำนักงานแรงงานจังหวัดมหาสารคาม,11,2564,อำเภอยางสีสุราช,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,12,2564,อำเภอกุดรัง,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
342,สำนักงานแรงงานจังหวัดมหาสารคาม,13,2564,อำเภอชื่นชม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
212,สำนักงานแรงงานจังหวัดมหาสารคาม,14,2565,อำเภอเมืองมหาสารคาม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
29,สำนักงานแรงงานจังหวัดมหาสารคาม,15,2565,อำเภอแกดำ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
279,สำนักงานแรงงานจังหวัดมหาสารคาม,16,2565,อำเภอโกสุมพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
208,สำนักงานแรงงานจังหวัดมหาสารคาม,17,2565,อำเภอกันทรวิชัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
9,สำนักงานแรงงานจังหวัดมหาสารคาม,18,2565,อำเภอเชียงยืน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
16,สำนักงานแรงงานจังหวัดมหาสารคาม,19,2565,อำเภอบรบือ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
125,สำนักงานแรงงานจังหวัดมหาสารคาม,20,2565,อำเภอนาเชือก,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
118,สำนักงานแรงงานจังหวัดมหาสารคาม,21,2565,อำเภอพยัคฆภูมิพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
85,สำนักงานแรงงานจังหวัดมหาสารคาม,22,2565,อำเภอวาปีปทุม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
4,สำนักงานแรงงานจังหวัดมหาสารคาม,23,2565,อำเภอนาดูน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
16,สำนักงานแรงงานจังหวัดมหาสารคาม,24,2565,อำเภอยางสีสุราช,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
13,สำนักงานแรงงานจังหวัดมหาสารคาม,25,2565,อำเภอกุดรัง,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
7,สำนักงานแรงงานจังหวัดมหาสารคาม,26,2565,อำเภอชื่นชม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
412,สำนักงานแรงงานจังหวัดมหาสารคาม,27,2566,อำเภอเมืองมหาสารคาม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,28,2566,อำเภอแกดำ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
65,สำนักงานแรงงานจังหวัดมหาสารคาม,29,2566,อำเภอโกสุมพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
281,สำนักงานแรงงานจังหวัดมหาสารคาม,30,2566,อำเภอกันทรวิชัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,31,2566,อำเภอเชียงยืน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
21,สำนักงานแรงงานจังหวัดมหาสารคาม,32,2566,อำเภอบรบือ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
7,สำนักงานแรงงานจังหวัดมหาสารคาม,33,2566,อำเภอนาเชือก,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
147,สำนักงานแรงงานจังหวัดมหาสารคาม,34,2566,อำเภอพยัคฆภูมิพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
152,สำนักงานแรงงานจังหวัดมหาสารคาม,35,2566,อำเภอวาปีปทุม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
23,สำนักงานแรงงานจังหวัดมหาสารคาม,36,2566,อำเภอนาดูน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
18,สำนักงานแรงงานจังหวัดมหาสารคาม,37,2566,อำเภอยางสีสุราช,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
2,สำนักงานแรงงานจังหวัดมหาสารคาม,38,2566,อำเภอกุดรัง,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
18,สำนักงานแรงงานจังหวัดมหาสารคาม,39,2566,อำเภอชื่นชม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
450,สำนักงานแรงงานจังหวัดมหาสารคาม,40,2567,อำเภอเมืองมหาสารคาม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
1,สำนักงานแรงงานจังหวัดมหาสารคาม,41,2567,อำเภอแกดำ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
102,สำนักงานแรงงานจังหวัดมหาสารคาม,42,2567,อำเภอโกสุมพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
208,สำนักงานแรงงานจังหวัดมหาสารคาม,43,2567,อำเภอกันทรวิชัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,44,2567,อำเภอเชียงยืน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
20,สำนักงานแรงงานจังหวัดมหาสารคาม,45,2567,อำเภอบรบือ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,46,2567,อำเภอนาเชือก,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
163,สำนักงานแรงงานจังหวัดมหาสารคาม,47,2567,อำเภอพยัคฆภูมิพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
85,สำนักงานแรงงานจังหวัดมหาสารคาม,48,2567,อำเภอวาปีปทุม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
30,สำนักงานแรงงานจังหวัดมหาสารคาม,49,2567,อำเภอนาดูน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,50,2567,อำเภอยางสีสุราช,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,51,2567,อำเภอกุดรัง,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
43,สำนักงานแรงงานจังหวัดมหาสารคาม,52,2567,อำเภอชื่นชม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,53,2568,อำเภอเมืองมหาสารคาม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,54,2568,อำเภอแกดำ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
