dic_id,description_thai,description_en,_id,data_type,field_name
1,ปี,,1,text,YEAR
2,อาชีพ,,2,text,OCCUPATION
3,ค่าข้อมูล,,3,numeric,VALUE
4,หน่วยนับ,,4,text,UNIT
5,ที่มา (ระดับกรม),,5,text,SOURCE
