มาตรา39,ที่มา,_id,ปี,ในระบบ,มาตรา40,มาตรา33,จังหวัด,หน่วย
4,สำนักงานประกันสังคมจังหวัด,1,2565,186,180,2,กระบี่,คน
0,สำนักงานประกันสังคมจังหวัด,2,2565,0,0,0,กรุงเทพมหานคร,คน
26,สำนักงานประกันสังคมจังหวัด,3,2565,324,290,8,กาญจนบุรี,คน
2,สำนักงานประกันสังคมจังหวัด,4,2565,250,247,1,กาฬสินธุ์,คน
8,สำนักงานประกันสังคมจังหวัด,5,2565,463,444,11,กำแพงเพชร,คน
30,สำนักงานประกันสังคมจังหวัด,6,2565,558,509,19,ขอนแก่น,คน
13,สำนักงานประกันสังคมจังหวัด,7,2565,171,150,8,จันทบุรี,คน
42,สำนักงานประกันสังคมจังหวัด,8,2565,328,248,38,ฉะเชิงเทรา,คน
181,สำนักงานประกันสังคมจังหวัด,9,2565,584,286,117,ชลบุรี,คน
4,สำนักงานประกันสังคมจังหวัด,10,2565,228,223,1,ชัยนาท,คน
11,สำนักงานประกันสังคมจังหวัด,11,2565,410,391,8,ชัยภูมิ,คน
7,สำนักงานประกันสังคมจังหวัด,12,2565,166,154,5,ชุมพร,คน
40,สำนักงานประกันสังคมจังหวัด,13,2565,385,333,12,เชียงราย,คน
326,สำนักงานประกันสังคมจังหวัด,14,2565,1165,760,79,เชียงใหม่,คน
7,สำนักงานประกันสังคมจังหวัด,15,2565,346,331,8,ตรัง,คน
5,สำนักงานประกันสังคมจังหวัด,16,2565,165,156,4,ตราด,คน
9,สำนักงานประกันสังคมจังหวัด,17,2565,135,124,2,ตาก,คน
19,สำนักงานประกันสังคมจังหวัด,18,2565,102,74,9,นครนายก,คน
80,สำนักงานประกันสังคมจังหวัด,19,2565,370,257,33,นครปฐม,คน
5,สำนักงานประกันสังคมจังหวัด,20,2565,120,115,0,นครพนม,คน
41,สำนักงานประกันสังคมจังหวัด,21,2565,423,338,44,นครราชสีมา,คน
17,สำนักงานประกันสังคมจังหวัด,22,2565,411,389,5,นครศรีธรรมราช,คน
16,สำนักงานประกันสังคมจังหวัด,23,2565,387,355,16,นครสวรรค์,คน
216,สำนักงานประกันสังคมจังหวัด,24,2565,613,312,85,นนทบุรี,คน
6,สำนักงานประกันสังคมจังหวัด,25,2565,121,114,1,นราธิวาส,คน
5,สำนักงานประกันสังคมจังหวัด,26,2565,253,243,5,น่าน,คน
1,สำนักงานประกันสังคมจังหวัด,27,2565,81,79,1,บึงกาฬ,คน
9,สำนักงานประกันสังคมจังหวัด,28,2565,317,303,5,บุรีรัมย์,คน
284,สำนักงานประกันสังคมจังหวัด,29,2565,711,345,82,ปทุมธานี,คน
9,สำนักงานประกันสังคมจังหวัด,30,2565,153,141,3,ประจวบคีรีขันธ์,คน
14,สำนักงานประกันสังคมจังหวัด,31,2565,141,116,11,ปราจีนบุรี,คน
3,สำนักงานประกันสังคมจังหวัด,32,2565,125,116,6,ปัตตานี,คน
77,สำนักงานประกันสังคมจังหวัด,33,2565,278,201,null,พระนครศรีอยุธยา,คน
6,สำนักงานประกันสังคมจังหวัด,34,2565,1472,1463,3,พะเยา,คน
3,สำนักงานประกันสังคมจังหวัด,35,2565,253,247,3,พังงา,คน
1,สำนักงานประกันสังคมจังหวัด,36,2565,327,325,1,พัทลุง,คน
10,สำนักงานประกันสังคมจังหวัด,37,2565,271,259,2,พิจิตร,คน
16,สำนักงานประกันสังคมจังหวัด,38,2565,476,453,7,พิษณุโลก,คน
