_id,กล้วยน้ำว้า (ล้านบาท),ครัวเรือน,ลำดับ,กล้วยหอมทอง (ราคา),กล้วยไข่ (ราคา),อำเภอ,กล้วยไข่ (ล้านบาท),กล้วยหอมทอง (ล้านบาท),กล้วยน้ำว้า (ราคา)
1,10.57,448,1,12,10,เมืองตาก,0.1,0.29,7
2,2.04,152,2,12,10,บ้านตาก,0.87,0.14,7
3,2.27,81,3,12,10,สามเงา,12.95,0.42,7
4,5.0,113,4,12,10,แม่ระมาด,0.02,0.1,7
5,2.98,53,5,12,10,ท่าสองยาง,0.04,0.16,7
6,8.18,165,6,12,10,แม่สอด,0.01,0.59,7
7,5.48,83,7,12,10,พบพระ,3.7,31.08,7
8,19.26,245,8,12,10,อุ้มผาง,0.59,0.97,7
9,2.39,49,9,12,10,วังเจ้า,2.82,0.26,7
10,58.17,"1,389",,12,10,รวม,21.1,34.01,7
11,,,,,,,,,
12,,,,,,,,,
