OCCUPATION,VALUE,SOURCE,_id,UNIT,YEAR
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
 นักออกแบบภาพกราฟฟิกและสื่อผสม)",203691,สำนักงานสถิติแห่งชาติ,1,คน,2562
ผู้ประกอบวิชาชีพด้านสุขภาพ,229519,สำนักงานสถิติแห่งชาติ,2,คน,2562
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,56419,สำนักงานสถิติแห่งชาติ,3,คน,2562
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,222872,สำนักงานสถิติแห่งชาติ,4,คน,2562
"ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม
 เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล)",43679,สำนักงานสถิติแห่งชาติ,5,คน,2562
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,59883,สำนักงานสถิติแห่งชาติ,6,คน,2562
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,300275,สำนักงานสถิติแห่งชาติ,7,คน,2562
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,20214,สำนักงานสถิติแห่งชาติ,8,คน,2562
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),62640,สำนักงานสถิติแห่งชาติ,9,คน,2562
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,274352,สำนักงานสถิติแห่งชาติ,10,คน,2562
ช่างไฟฟ้าและอิเล็กทรอนิกส์,210486,สำนักงานสถิติแห่งชาติ,11,คน,2562
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,82753,สำนักงานสถิติแห่งชาติ,12,คน,2562
ผู้ปฏิบัติงานด้านการประกอบ,60336,สำนักงานสถิติแห่งชาติ,13,คน,2562
ช่างถ่ายภาพ,3742,สำนักงานสถิติแห่งชาติ,14,คน,2562
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์  
 (ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",20009,สำนักงานสถิติแห่งชาติ,15,คน,2562
รวม,1850870,สำนักงานสถิติแห่งชาติ,16,คน,2562
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
 นักออกแบบภาพกราฟฟิกและสื่อผสม)",219747,สำนักงานสถิติแห่งชาติ,17,คน,2563
ผู้ประกอบวิชาชีพด้านสุขภาพ,264061,สำนักงานสถิติแห่งชาติ,18,คน,2563
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,67282,สำนักงานสถิติแห่งชาติ,19,คน,2563
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,240607,สำนักงานสถิติแห่งชาติ,20,คน,2563
"ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม
 เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล)",49474,สำนักงานสถิติแห่งชาติ,21,คน,2563
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,52032,สำนักงานสถิติแห่งชาติ,22,คน,2563
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,325273,สำนักงานสถิติแห่งชาติ,23,คน,2563
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,26754,สำนักงานสถิติแห่งชาติ,24,คน,2563
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),70713,สำนักงานสถิติแห่งชาติ,25,คน,2563
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,309092,สำนักงานสถิติแห่งชาติ,26,คน,2563
ช่างไฟฟ้าและอิเล็กทรอนิกส์,202526,สำนักงานสถิติแห่งชาติ,27,คน,2563
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,94498,สำนักงานสถิติแห่งชาติ,28,คน,2563
ผู้ปฏิบัติงานด้านการประกอบ,65285,สำนักงานสถิติแห่งชาติ,29,คน,2563
ช่างถ่ายภาพ,3813,สำนักงานสถิติแห่งชาติ,30,คน,2563
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์  
 (ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",20159,สำนักงานสถิติแห่งชาติ,31,คน,2563
รวม,2011316,สำนักงานสถิติแห่งชาติ,32,คน,2563
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
 นักออกแบบภาพกราฟฟิกและสื่อผสม)",201080,สำนักงานสถิติแห่งชาติ,33,คน,2564
ผู้ประกอบวิชาชีพด้านสุขภาพ,277402,สำนักงานสถิติแห่งชาติ,34,คน,2564
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,56745,สำนักงานสถิติแห่งชาติ,35,คน,2564
