_id,ที่มา,ปีงบประมาณ,ประเทศไทย,จังหวัดสมุทรปราการ,หน่วย,ระดับ
1,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2565,"33,704","2,766",โรง,รวม
2,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2565,"30,501","2,192",โรง,ระดับ 1
3,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2565,"1,602",216,โรง,ระดับ 2
4,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2565,"1,441",337,โรง,ระดับ 3
5,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2565,122,19,โรง,ระดับ 4
6,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2565,38,2,โรง,ระดับ 5
7,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2566,"17,941","4,856",โรง,รวม
8,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2566,"15,617","3,996",โรง,ระดับ 1
9,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2566,929,349,โรง,ระดับ 2
10,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2566,"1,235",454,โรง,ระดับ 3
11,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2566,144,53,โรง,ระดับ 4
12,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2566,16,4,โรง,ระดับ 5
13,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2567,"11,983","5,237",โรง,รวม
14,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2567,"9,364","4,709",โรง,ระดับ 1
15,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2567,1097,229,โรง,ระดับ 2
16,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2567,1166,252,โรง,ระดับ 3
17,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2567,287,42,โรง,ระดับ 4
18,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2567,69,5,โรง,ระดับ 5
19,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2568,,"5,349",โรง,รวม
20,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2568,,"4,607",โรง,ระดับ 1
21,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2568,,467,โรง,ระดับ 2
22,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2568,,325,โรง,ระดับ 3
23,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2568,,30,โรง,ระดับ 4
24,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2568,,10,โรง,ระดับ 5
