_id,ปี,ที่มา,ข้อมูล,หน่วยวัด,ประเภท,จังหวัด,รายการ
1,2562,สำนักงานอุตสาหกรรมจังหวัด,286,แห่ง,โรงงาน ,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
2,2563,สำนักงานอุตสาหกรรมจังหวัด,287,แห่ง,โรงงาน ,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
3,2564,สำนักงานอุตสาหกรรมจังหวัด,291,แห่ง,โรงงาน ,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
4,2565,สำนักงานอุตสาหกรรมจังหวัด,296,แห่ง,โรงงาน ,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
5,2566,สำนักงานอุตสาหกรรมจังหวัด,298,แห่ง,โรงงาน ,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
6,2562,สำนักงานอุตสาหกรรมจังหวัด,15074.95,ล้านบาท,เงินลงทุน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
7,2563,สำนักงานอุตสาหกรรมจังหวัด,15097.7,ล้านบาท,เงินลงทุน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
8,2564,สำนักงานอุตสาหกรรมจังหวัด,15863,ล้านบาท,เงินลงทุน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
9,2565,สำนักงานอุตสาหกรรมจังหวัด,19120,ล้านบาท,เงินลงทุน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
10,2566,สำนักงานอุตสาหกรรมจังหวัด,19538.65,ล้านบาท,เงินลงทุน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
11,2562,สำนักงานอุตสาหกรรมจังหวัด,4725,คน,คนงาน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
12,2563,สำนักงานอุตสาหกรรมจังหวัด,4729,คน,คนงาน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
13,2564,สำนักงานอุตสาหกรรมจังหวัด,4825,คน,คนงาน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
14,2565,สำนักงานอุตสาหกรรมจังหวัด,4983,คน,คนงาน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
15,2566,สำนักงานอุตสาหกรรมจังหวัด,5096,คน,คนงาน,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
16,2562,สำนักงานอุตสาหกรรมจังหวัด,647267,ตัน,กำลังการผลิต,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
17,2563,สำนักงานอุตสาหกรรมจังหวัด,647551,ตัน,กำลังการผลิต,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
18,2564,สำนักงานอุตสาหกรรมจังหวัด,669746,ตัน,กำลังการผลิต,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
19,2565,สำนักงานอุตสาหกรรมจังหวัด,688814,ตัน,กำลังการผลิต,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
20,2566,สำนักงานอุตสาหกรรมจังหวัด,696574,ตัน,กำลังการผลิต,นครราชสีมา,โรงงานแปรรูปสินค้าเกษตร
