จำนวนผู้ประกันตน,_id,กุมภาพันธ์,มีนาคม,มกราคม
มาตรา 33,1,15386,15410,15516
มาตรา39,2,3068,3043,3064
มาตรา 40,3,29299,29282,29270
รวม,4,47753,47735,47850
