โรงงานทั้งหมด,ลดปล่อยก๊าซเรือนกระจก,น้ำทิ้ง,_id,ปี,Eco Product,นำกากของเสียมาใช้ใหม่,Eco Efficiency,ลดใช้พลังงาน,CSR,Eco Factory,เขต,อาคารมิตรสิ่งแวดล้อม
91,29,24,1,2564,29,31,25,30,21,27,เขต IRPC,26
331,103,79,2,2564,65,97,44,100,52,96,เขตควบคุมมลพิษ,74
98,32,32,3,2565,34,39,27,35,29,34,เขต IRPC,21
433,150,145,4,2565,147,238,122,155,89,154,เขตควบคุมมลพิษ,102
98,32,32,5,2566,34,39,27,35,29,34,เขต IRPC,21
433,150,145,6,2566,147,238,122,155,89,154,เขตควบคุมมลพิษ,102
98,32,32,7,2567,34,39,27,35,29,34,เขต IRPC,21
433,150,145,8,2567,147,238,122,155,89,154,เขตควบคุมมลพิษ,102
