_id,ปี,จำนวนผู้เยี่ยมเยือน,ลำดับเดือน,หน่วย
1,2561,"1,539,455.00",1,คน
2,2561,"1,494,791.00",2,คน
3,2561,"1,502,380.00",3,คน
4,2561,"1,687,908.00",4,คน
5,2561,"1,671,223.00",5,คน
6,2561,"1,499,521.00",6,คน
7,2561,"1,269,611.00",7,คน
8,2561,"1,357,447.00",8,คน
9,2561,"1,213,621.00",9,คน
10,2561,"1,507,843.00",10,คน
11,2561,"1,745,262.00",11,คน
12,2561,"1,722,477.00",12,คน
13,2562,"1,599,838.00",1,คน
14,2562,"1,581,044.00",2,คน
15,2562,"1,533,731.00",3,คน
16,2562,"1,729,098.00",4,คน
17,2562,"1,684,371.00",5,คน
18,2562,"1,502,545.00",6,คน
19,2562,"1,287,916.00",7,คน
20,2562,"1,315,422.00",8,คน
21,2562,"1,280,562.00",9,คน
22,2562,"1,625,991.00",10,คน
23,2562,"1,764,844.00",11,คน
24,2562,"1,670,784.00",12,คน
25,2563,"1,585,782.00",1,คน
26,2563,"636,605.00",2,คน
27,2563,"435,885.00",3,คน
28,2563,"10,275.00",4,คน
29,2563,"18,220.00",5,คน
30,2563,"211,505.00",6,คน
31,2563,"460,470.00",7,คน
32,2563,"574,334.00",8,คน
33,2563,"576,005.00",9,คน
34,2563,"646,957.00",10,คน
35,2563,"964,084.00",11,คน
36,2563,"844,621.00",12,คน
37,2564,"25,035.00",1,คน
38,2564,"87,030.00",2,คน
39,2564,"160,334.00",3,คน
40,2564,"156,392.00",4,คน
41,2564,"29,860.00",5,คน
42,2564,"41,441.00",6,คน
43,2564,"34,619.00",7,คน
44,2564,"30,270.00",8,คน
45,2564,"119,870.00",9,คน
46,2564,"224,103.00",10,คน
47,2564,"929,255.00",11,คน
48,2564,"975,534.00",12,คน
49,2565,"980,622.00",1,คน
50,2565,"961,479.00",2,คน
51,2565,"998,371.00",3,คน
52,2565,"1,049,243.00",4,คน
53,2565,"1,024,264.00",5,คน
54,2565,"1,061,297.00",6,คน
55,2565,"1,142,238.00",7,คน
56,2565,"1,187,655.00",8,คน
57,2565,"1,083,365.00",9,คน
58,2565,"1,310,830.00",10,คน
59,2565,"1,726,398.00",11,คน
60,2565,"2,159,207.00",12,คน
61,2566,"2,135,864.00",1,คน
62,2566,"6,899,920.00",2,คน
63,2566,"1,961,835.00",3,คน
64,2566,"1,964,973.00",4,คน
65,2566,"1,945,847.00",5,คน
66,2566,"1,965,559.00",6,คน
67,2566,"1,931,528.00",7,คน
68,2566,"2,269,565.00",8,คน
69,2566,"1,913,433.00",9,คน
70,2566,"1,950,129.00",10,คน
71,2566,"2,187,832.00",11,คน
72,2566,"2,453,362.00",12,คน
73,2567,"2,163,066.00",1,คน
74,2567,"7,880,824.00",2,คน
75,2567,"2,275,036.00",3,คน
76,2567,"2,324,209.00",4,คน
77,2567,"2,217,986.00",5,คน
78,2567,"2,107,971.00",6,คน
79,2567,"2,332,234.00",7,คน
80,2567,"2,195,701.00",8,คน
81,2567,"2,332,386.00",9,คน
82,2567,"2,551,424.00",10,คน
83,2567,"2,674,112.00",11,คน
84,2567,"2,846,185.00",12,คน
