ค่าข้อมูล,ที่มา,_id,ปี,ประเภท/ชนิดโรงงาน,รายการ,จังหวัด,หน่วย
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,การทำน้ำตาลทรายดิบ หรือน้ำตาลทรายขาว,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
31,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,การทำน้ำดื่ม,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,14,2566,การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,15,2566,โรงงานถักผ้า ผ้าลูกไม้ หรือเครื่องนุ่งห่มด้วยด้ายหรือเส้นใย หรือฟอกย้อมสี หรือแต่งสำเร็จผ้า,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,16,2566,การผลิตเชือก,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,17,2566,การผลิต ประกอบ หรือซ่อมแซมตาข่าย แห หรืออวน และรวมถึงชิ้นส่วนอุปกรณ์ของผลิตภัณฑ์,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,18,2566,การทำแผ่นเส้นใยที่แช่หรือฉาบผิวหน้าด้วยวัสดุซึ่งมิใช่ยาง,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,19,2566,การทำวัสดุจากเส้นใยสำหรับใช้ทำเบาะ นวม หรือสิ่งที่คล้ายคลึงกัน,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,20,2566,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย ปลอกแขน ถุงมือ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,21,2566,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
15,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,22,2566,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,23,2566,การทำฝอยไม้ การบด ป่น หรือย่อยไม้,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,24,2566,การเผาถ่านจากไม้,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,25,2566,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,26,2566,การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,27,2566,การผลิตวัตถุที่รับรองไว้ในตำรายาที่รัฐมนตรีว่าการกระทรวงสาธารณสุขประกาศ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
11,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,28,2566,การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,29,2566,การทำภาชนะบรรจุ เช่น ถุง หรือกระสอบ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,30,2566,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชั้น ผง หรือรูปทรงต่าง ๆ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,31,2566,การล้าง บด หรือย่อยพลาสติก,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,32,2566,โรงงานผลิตแก้ว เส้นใยแก้ว หรือผลิตภัณฑ์แก้ว,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
7,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,33,2566,โรงงานผลิตอิฐ กระเบื้องหรือท่อสำหรับใช้ในการก่อสร้างเบ้าหลอมโลหะ กระเบื้องประดับ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
53,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,34,2566,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,35,2566,การถลุง ผสม ทำให้บริสุทธิ์ หล่อ หลอม รีด ดึง หรือผลิตโลหะในขั้นต้นซึ่งมิใช่เหล็ก,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,36,2566,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,37,2566,การทำผลิตภัณฑ์ด้วยวิธีปั๊มหรือกระแทก,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,38,2566,การอัดเศษโลหะ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,39,2566,การตัด พับ หรือม้วนโลหะ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,40,2566,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,41,2566,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องจักรสำหรับใช้ในการกสิกรรมหรือการเลี้ยงสัตว์,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,42,2566,โรงงานผลิต ประกอบหรือดัดแปลง เครื่องมือหรือเครื่องใช้ไฟฟ้าที่ไม่ได้ระบุไว้ในลำดับใด และส่วนประกอบ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,43,2566,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,44,2566,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,45,2566,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพจักรยานยนต์ จักรยานสามล้อ หรือจักรยาน,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,46,2566,การผลิตพลังงานไฟฟ้าจากพลังงานแสงอาทิตย์ ยกเว้นที่ติดตั้งบนหลังคา ดาดฟ้า,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,47,2566,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,48,2566,โรงงานผลิตก๊าซ ซึ่งมิใช่ก๊าซธรรมชาติ และโรงงานส่งหรือจำหน่ายก๊าซ แต่ไม่รวมถึงโรงงานส่งหรือจำหน่ายก๊าซที่เป็นน้ำมันเชื้อเพลิงตามกฎหมายว่าด้วยการควบคุมน้ำม้นเชื้อเพลิง,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,49,2566,โรงงานห้องเย็น,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
18,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,50,2566,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,51,2566,การพ่นสีกันสนิมยานที่ขับเคลื่อนด้วยเครื่องยนต์,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,52,2566,โรงงานซักรีด ซักแห้ง ซักฟอก รีด อัด หรือย้อมผ้า หรือนุ่งห่ม พรม หรือขนสัตว์,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,53,2566,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,54,2566,การทำเกลือสินเธาว์,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,55,2566,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,56,2566,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
