มูลค่าผลผลิตรวม,ผลผลิตเฉลี่ย,_id,ปี,ผลผลิต,ราคาเฉลี่ย,พื้นที่เพาะปลูก
3073.77,1796,1,2560,44483,69.1,34911
2718.39,1610,2,2561,38951,69.79,36893
4575.01,1846,3,2562,48358,95,40439
5564.04,1993,4,2563,55176,100.84,45239
6280.69,1773,5,2564,56844,110.49,59199
