จำนวน,ที่มา,ผู้อยู่ในกำลังแรงงาน,สถานภาพแรงงาน,_id,ปี,ไตรมาส,จังหวัด,หน่วย
"222,755",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,1,2565,1,หนองบัวลำภู,คน
"2,963",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,2,2565,1,หนองบัวลำภู,คน
420,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,3,2565,1,หนองบัวลำภู,คน
"56,499",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,4,2565,1,หนองบัวลำภู,คน
"32,247",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,5,2565,1,หนองบัวลำภู,คน
"70,709",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,6,2565,1,หนองบัวลำภู,คน
"222,529",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,7,2565,2,หนองบัวลำภู,คน
"1,749",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,8,2565,2,หนองบัวลำภู,คน
"1,359",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,9,2565,2,หนองบัวลำภู,คน
"60,190",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,10,2565,2,หนองบัวลำภู,คน
"33,047",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,11,2565,2,หนองบัวลำภู,คน
"66,733",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,12,2565,2,หนองบัวลำภู,คน
"236,018",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,13,2565,3,หนองบัวลำภู,คน
"4,037",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,14,2565,3,หนองบัวลำภู,คน
0,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,15,2565,3,หนองบัวลำภู,คน
"50,787",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,16,2565,3,หนองบัวลำภู,คน
"31,587",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,17,2565,3,หนองบัวลำภู,คน
"63,158",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,18,2565,3,หนองบัวลำภู,คน
"241,526",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,19,2565,4,หนองบัวลำภู,คน
963,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,20,2565,4,หนองบัวลำภู,คน
0,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,21,2565,4,หนองบัวลำภู,คน
"52,546",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,22,2565,4,หนองบัวลำภู,คน
"28,016",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,23,2565,4,หนองบัวลำภู,คน
"62,425",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,24,2565,4,หนองบัวลำภู,คน
"245,604",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,25,2566,1,หนองบัวลำภู,คน
"3,878",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,26,2566,1,หนองบัวลำภู,คน
"7,409",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,27,2566,1,หนองบัวลำภู,คน
"21,075",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,28,2566,1,หนองบัวลำภู,คน
"29,183",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,29,2566,1,หนองบัวลำภู,คน
"78,261",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,30,2566,1,หนองบัวลำภู,คน
"262,534",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,31,2566,2,หนองบัวลำภู,คน
"1,309",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,32,2566,2,หนองบัวลำภู,คน
"2,845",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,33,2566,2,หนองบัวลำภู,คน
"5,986",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,34,2566,2,หนองบัวลำภู,คน
