VALUE,SOURCE,_id,INDUSTRY,UNIT,REGION,YEAR
5.32,สำนักงานสถิติแห่งชาติ,1,01) เกษตรกรรม การป่าไม้ และการประมง,พันคน,1) กรุงเทพมหานคร,2563
0.0,สำนักงานสถิติแห่งชาติ,2,02) การทำเหมืองแร่ และเหมืองหิน,พันคน,1) กรุงเทพมหานคร,2563
37.25,สำนักงานสถิติแห่งชาติ,3,03) การผลิต,พันคน,1) กรุงเทพมหานคร,2563
0.0,สำนักงานสถิติแห่งชาติ,4,04) ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,1) กรุงเทพมหานคร,2563
0.0,สำนักงานสถิติแห่งชาติ,5,05) การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,1) กรุงเทพมหานคร,2563
10.05,สำนักงานสถิติแห่งชาติ,6,06) การก่อสร้าง,พันคน,1) กรุงเทพมหานคร,2563
88.04,สำนักงานสถิติแห่งชาติ,7,07) การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,1) กรุงเทพมหานคร,2563
26.55,สำนักงานสถิติแห่งชาติ,8,08) การขนส่ง และสถานที่เก็บสินค้า,พันคน,1) กรุงเทพมหานคร,2563
47.1,สำนักงานสถิติแห่งชาติ,9,09) ที่พักแรมและบริการด้านอาหาร,พันคน,1) กรุงเทพมหานคร,2563
0.91,สำนักงานสถิติแห่งชาติ,10,10) ข้อมูลข่าวสารและการสื่อสาร,พันคน,1) กรุงเทพมหานคร,2563
3.94,สำนักงานสถิติแห่งชาติ,11,11) กิจกรรมทางการเงินและการประกันภัย,พันคน,1) กรุงเทพมหานคร,2563
4.17,สำนักงานสถิติแห่งชาติ,12,12) กิจกรรมอสังหาริมทรัพย์,พันคน,1) กรุงเทพมหานคร,2563
4.45,สำนักงานสถิติแห่งชาติ,13,13) กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,1) กรุงเทพมหานคร,2563
11.56,สำนักงานสถิติแห่งชาติ,14,14) กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,1) กรุงเทพมหานคร,2563
5.1,สำนักงานสถิติแห่งชาติ,15,15) การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,1) กรุงเทพมหานคร,2563
6.29,สำนักงานสถิติแห่งชาติ,16,16) การศึกษา,พันคน,1) กรุงเทพมหานคร,2563
1.57,สำนักงานสถิติแห่งชาติ,17,17) กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,1) กรุงเทพมหานคร,2563
3.45,สำนักงานสถิติแห่งชาติ,18,18) ศิลปะ ความบันเทิง และนันทนาการ,พันคน,1) กรุงเทพมหานคร,2563
15.35,สำนักงานสถิติแห่งชาติ,19,19) กิจกรรมบริการด้านอื่น ๆ,พันคน,1) กรุงเทพมหานคร,2563
9.81,สำนักงานสถิติแห่งชาติ,20,20) กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,พันคน,1) กรุงเทพมหานคร,2563
0.0,สำนักงานสถิติแห่งชาติ,21,21) กิจกรรมขององค์การระหว่างประเทศ,พันคน,1) กรุงเทพมหานคร,2563
0.37,สำนักงานสถิติแห่งชาติ,22,22) ไม่ทราบ,พันคน,1) กรุงเทพมหานคร,2563
449.77,สำนักงานสถิติแห่งชาติ,23,01) เกษตรกรรม การป่าไม้ และการประมง,พันคน,2) ภาคกลาง,2563
2.27,สำนักงานสถิติแห่งชาติ,24,02) การทำเหมืองแร่ และเหมืองหิน,พันคน,2) ภาคกลาง,2563
101.41,สำนักงานสถิติแห่งชาติ,25,03) การผลิต,พันคน,2) ภาคกลาง,2563
