ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ทำลูกชิ้นเนื้อวัวและหมู,หนองแขม,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,เพชรเกษม,เพชรเกษม 77,100000000000,7.8,20,กรุงเทพมหานคร,3,14/22,297,2538,หนองแขม,ศ3-4(3)-1/38,นายเลิศพงศ์ ฉัตรมาลีรัตน์,1,,3,10160
ผลิตอาหารจากแป้ง เช่น ขนมปัง ขนมคุกกี้ และบรรจุภัณฑ์เพื่อเพื่อใช้บรรจุอาหารกึ่งสำเร็จรูป,หนองแขม,1001,การทำขนมปังหรือขนมเค้ก,,มาเจริญ 1 แยก 3-2,100000000000,57,40,กรุงเทพมหานคร,,11,797.2,2533,หนองค้างพลู,ศ3-10(1)-3/33,บริษัท ไทย อันเปา ผลิตภัณฑ์กระดาษ จำกัด,2,บริษัท ไทย อันเป่า ผลิตภัณฑ์กระดาษ จำกัด,3,10160
ทำประตู หน้าต่าง ไม้อัด เครื่องใช้และเครื่องเรือนจากไม้,บางขุนเทียน,3402,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,พระรามที่ 2,,100000000000,2.8,29,กรุงเทพมหานคร,3,25,494.66,2536,แสมดำ,ศ3-34(2)-5/36,นายนพดล เกตุแก้ว,3,บางมดเฟอร์นิเจอร์,3,10150
ทำเครื่องเรือนจากไม้,บางเขน,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,สุขาภิบาล 5,,100000000000,1.5,23,กรุงเทพมหานคร,,405,195,2535,ท่าแร้ง,ศ3-37-58/35,บริษัท ดีเซนเต้ จำกัด,4,บริษัท ดีเซนเต้ จำกัด,3,10220
ผลิตผลไม้กระป๋อง,จอมทอง,801,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,,สุขสวัสดิ์ 2,100000000000,4,27,กรุงเทพมหานคร,,412,744,2538,จอมทอง,ศ3-8(1)-1/38,บริษัท โรงงานเครื่องกระป๋องฮั่วเซ้ง จำกัด,5,บริษัท โรงงานเครื่องกระป๋องฮั่วเซ้ง จำกัด,3,10150
ผลิตยารักษาโรคแผนปัจจุบัน,ลาดพร้าว,4602,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค ,นาคนิวาส ,-,100000000000,22,18,กรุงเทพมหานคร,,13,299.61,2538,ลาดพร้าว,ศ3-46(2)-2/38,บริษัท ฟาร์สเป็ค จำกัด,6,บริษัท ฟาร์สเป็ค จำกัด,3,10230
ทำบานประตู-หน้าต่าง และวงกบไม้,หนองจอก,3402,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,เชื่อมสัมพันธ์,,100000000000,1.5,14,กรุงเทพมหานคร,6,46154,222.5,2538,โคกแฝด,ศ3-34(2)-3/38,นายธนะสิทธิ์ ดิษยศรีโรจน์ ,7,สยามการช่าง,3,10530
ทำเครื่องเรือนจากไม้,ประเวศ,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,สุขาภิบาล 2,ซอยสุขาภิบาล 2 ซอย 11 แยก 2-1 ,100000000000,1.5,0,กรุงเทพมหานคร,,2,69.05,2534,ประเวศ,ศ3-37-7/34,บริษัท ธนาเฟอร์นิเจอร์ จำกัด,8,บริษัท ธนาเฟอร์นิเจอร์ จำกัด,3,10250
ผลิตอาหารสำเร็จรูปจากผึ้ง เช่น รอยัลเยลลี่ บีพอลเลน และผลิตอาหารจากว่านหางจระเข้,หนองจอก,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,ร่วมพัฒนา,-,100000000000,68,35,กรุงเทพมหานคร,6,46034,255.53,2536,ลำต้อยติ่ง,ศ3-4(3)-1/36,บริษัท ควีนแนทเจอรัลโปรดัคส์ จำกัด,9,บริษัท ควีนแนทเจอรัลโปรดัคส์ จำกัด,3,10530
ทำวงกบ ประตู - หน้าต่างจากไม้,หนองแขม,3402,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,,เลียยฯ ฝั่งใต้ 5/2,100000000000,0.78,8,กรุงเทพมหานคร,,8,79.5,2532,หนองแขม,ศ3-34(2)-2/32,นายบัณฑิต วิริโยภาส,10,บัณฑิตพานิช,3,10160
ทำอาหารทะเลแช่แข็ง และทำอาหารกึ่งสำเร็จรูปจากเนื้อสัตว์ต่างๆ เช่น เนื้อหมู เนื้อไก่,บางขุนเทียน,602,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,,พระรามที่ 2 ซอย 50 แยก 7,100000000000,122.059198,721,กรุงเทพมหานคร,,8,1700.2,2534,แสมดำ,ศ3-6(2)-2/34,บริษัท เอ ฟู้ดส์ 1991 จำกัด,11,บริษัท เอ ฟู้ดส์ 1991 จำกัด,3,10150
เจียระไนเพชร พลอย,หลักสี่,8403,การตัด เจียระไน หรือขัดเพชร พลอย หรืออัญมณี,วิภาวดี-รังสิต,การเคหะบางบัว,100000000000,60.405932,119,กรุงเทพมหานคร,,46194,1187.57,2529,ตลาดบางเขน,ส3-84(3)-3/29,บริษัท สยามสตาร์ จำกัด,12,บริษัท สยามสตาร์ จำกัด,3,10210
"ทำน้ำแข็งซอง กำลังการผลิตวันละ 1,680 ซอง",บางกะปิ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,ลาดพร้าว,ลาดพร้าว 101,100000000000,16,11,กรุงเทพมหานคร,,2878,524.32,2535,คลองจั่น,ศ3-14-3/35,บริษัท เพียว ไอซ์ จำกัด,13,บริษัท เพียวไอซ์ จำกัด,3,10240
