จำนวน,ประเภท,ที่มา,_id,ปี,ชนิดพืช,หน่วยนับ,อำเภอ,รายการข้อมูล
194648.15,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,40,2568,ข้าวนาปี,ไร่,ด่านขุนทด,เนื้อที่เพาะข้าวนาปี
161641.21,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,41,2568,ข้าวนาปี,ไร่,โนนไทย,เนื้อที่เพาะข้าวนาปี
277958.07,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,42,2568,ข้าวนาปี,ไร่,โนนสูง,เนื้อที่เพาะข้าวนาปี
75364.82,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,43,2568,ข้าวนาปี,ไร่,ขามสะแกแสง,เนื้อที่เพาะข้าวนาปี
188234.17,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,44,2568,ข้าวนาปี,ไร่,บัวใหญ่,เนื้อที่เพาะข้าวนาปี
240637.08,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,45,2568,ข้าวนาปี,ไร่,ประทาย,เนื้อที่เพาะข้าวนาปี
128409.89,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,46,2568,ข้าวนาปี,ไร่,ปักธงชัย,เนื้อที่เพาะข้าวนาปี
256200.56,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,47,2568,ข้าวนาปี,ไร่,พิมาย,เนื้อที่เพาะข้าวนาปี
152193.86,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,48,2568,ข้าวนาปี,ไร่,ห้วยแถลง,เนื้อที่เพาะข้าวนาปี
187543.02,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,49,2568,ข้าวนาปี,ไร่,ชุมพวง,เนื้อที่เพาะข้าวนาปี
76438.6,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,50,2568,ข้าวนาปี,ไร่,สูงเนิน,เนื้อที่เพาะข้าวนาปี
33090.88,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,51,2568,ข้าวนาปี,ไร่,ขามทะเลสอ,เนื้อที่เพาะข้าวนาปี
62866.12,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,52,2568,ข้าวนาปี,ไร่,สีคิ้ว,เนื้อที่เพาะข้าวนาปี
2986.76,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,53,2568,ข้าวนาปี,ไร่,ปากช่อง,เนื้อที่เพาะข้าวนาปี
58298.13,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,54,2568,ข้าวนาปี,ไร่,หนองบุญมาก,เนื้อที่เพาะข้าวนาปี
77731,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,55,2568,ข้าวนาปี,ไร่,แก้งสนามนาง,เนื้อที่เพาะข้าวนาปี
66159.39,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,56,2568,ข้าวนาปี,ไร่,โนนแดง,เนื้อที่เพาะข้าวนาปี
13775.62,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,57,2568,ข้าวนาปี,ไร่,วังน้ำเขียว,เนื้อที่เพาะข้าวนาปี
24857.56,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,58,2568,ข้าวนาปี,ไร่,เทพารักษ์,เนื้อที่เพาะข้าวนาปี
111336.81,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,59,2568,ข้าวนาปี,ไร่,เมืองยาง,เนื้อที่เพาะข้าวนาปี
73157.14,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,60,2568,ข้าวนาปี,ไร่,พระทองคำ,เนื้อที่เพาะข้าวนาปี
67856.22,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,61,2568,ข้าวนาปี,ไร่,ลำทะเมนชัย,เนื้อที่เพาะข้าวนาปี
55876.54,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,62,2568,ข้าวนาปี,ไร่,บัวลาย,เนื้อที่เพาะข้าวนาปี
73494.75,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,63,2568,ข้าวนาปี,ไร่,สีดา,เนื้อที่เพาะข้าวนาปี
34179.87,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,64,2568,ข้าวนาปี,ไร่,เฉลิมพระเกียรติ,เนื้อที่เพาะข้าวนาปี
83517.3,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,65,2567,ข้าวนาปี,ไร่,เมืองนครราชสีมา,เนื้อที่เพาะข้าวนาปี
64862.34,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,66,2567,ข้าวนาปี,ไร่,ครบุรี,เนื้อที่เพาะข้าวนาปี
36355.85,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,67,2567,ข้าวนาปี,ไร่,เสิงสาง,เนื้อที่เพาะข้าวนาปี
239545.51,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,68,2567,ข้าวนาปี,ไร่,คง,เนื้อที่เพาะข้าวนาปี
52670.25,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,69,2567,ข้าวนาปี,ไร่,บ้านเหลื่อม,เนื้อที่เพาะข้าวนาปี
106839.55,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,70,2567,ข้าวนาปี,ไร่,จักราช,เนื้อที่เพาะข้าวนาปี
102679.8,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,71,2567,ข้าวนาปี,ไร่,โชคชัย,เนื้อที่เพาะข้าวนาปี
204837.94,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,72,2567,ข้าวนาปี,ไร่,ด่านขุนทด,เนื้อที่เพาะข้าวนาปี
165687.6,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,73,2567,ข้าวนาปี,ไร่,โนนไทย,เนื้อที่เพาะข้าวนาปี
283632.19,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,74,2567,ข้าวนาปี,ไร่,โนนสูง,เนื้อที่เพาะข้าวนาปี
80066.05,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,75,2567,ข้าวนาปี,ไร่,ขามสะแกแสง,เนื้อที่เพาะข้าวนาปี
193847.41,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,76,2567,ข้าวนาปี,ไร่,บัวใหญ่,เนื้อที่เพาะข้าวนาปี
241925.78,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,77,2567,ข้าวนาปี,ไร่,ประทาย,เนื้อที่เพาะข้าวนาปี
133422.55,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,78,2567,ข้าวนาปี,ไร่,ปักธงชัย,เนื้อที่เพาะข้าวนาปี
266409.78,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,79,2567,ข้าวนาปี,ไร่,พิมาย,เนื้อที่เพาะข้าวนาปี
163549.93,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,80,2567,ข้าวนาปี,ไร่,ห้วยแถลง,เนื้อที่เพาะข้าวนาปี
191438.57,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,81,2567,ข้าวนาปี,ไร่,ชุมพวง,เนื้อที่เพาะข้าวนาปี
79488.64,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,82,2567,ข้าวนาปี,ไร่,สูงเนิน,เนื้อที่เพาะข้าวนาปี
33974.75,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,83,2567,ข้าวนาปี,ไร่,ขามทะเลสอ,เนื้อที่เพาะข้าวนาปี
66773.79,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,84,2567,ข้าวนาปี,ไร่,สีคิ้ว,เนื้อที่เพาะข้าวนาปี
3353.25,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,85,2567,ข้าวนาปี,ไร่,ปากช่อง,เนื้อที่เพาะข้าวนาปี
64960.19,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,86,2567,ข้าวนาปี,ไร่,หนองบุญมาก,เนื้อที่เพาะข้าวนาปี
80759.31,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,87,2567,ข้าวนาปี,ไร่,แก้งสนามนาง,เนื้อที่เพาะข้าวนาปี
67652.19,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,88,2567,ข้าวนาปี,ไร่,โนนแดง,เนื้อที่เพาะข้าวนาปี
14903.17,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,89,2567,ข้าวนาปี,ไร่,วังน้ำเขียว,เนื้อที่เพาะข้าวนาปี
31115.47,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,90,2567,ข้าวนาปี,ไร่,เทพารักษ์,เนื้อที่เพาะข้าวนาปี
113134.67,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,91,2567,ข้าวนาปี,ไร่,เมืองยาง,เนื้อที่เพาะข้าวนาปี
79880.74,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,92,2567,ข้าวนาปี,ไร่,พระทองคำ,เนื้อที่เพาะข้าวนาปี
72485.49,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,93,2567,ข้าวนาปี,ไร่,ลำทะเมนชัย,เนื้อที่เพาะข้าวนาปี
56513.54,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,94,2567,ข้าวนาปี,ไร่,บัวลาย,เนื้อที่เพาะข้าวนาปี
74453.18,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,95,2567,ข้าวนาปี,ไร่,สีดา,เนื้อที่เพาะข้าวนาปี
34584.96,ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,96,2567,ข้าวนาปี,ไร่,เฉลิมพระเกียรติ,เนื้อที่เพาะข้าวนาปี
