ไตรมาส 4,ไตรมาส 1,สถานภาพแรงงาน,ภาค,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,รายการ
" 6,119 ","20,643",รอฤดูกาล,     ภาคเหนือ                         ,36,2565," 3,412 "," 21,647 ",หญิง                        ,กำลังแรงงาน
" 9,469,833 ","8,991,270",ผู้มีงานทำ,  ภาคตะวันออกเฉียงเหนือ ,37,2565," 9,684,439 "," 9,260,119 ",รวม,กำลังแรงงาน
" 5,173,766 ","4,969,323",ผู้มีงานทำ,  ภาคตะวันออกเฉียงเหนือ ,38,2565," 5,242,352 "," 5,052,880 ",ชาย                         ,กำลังแรงงาน
" 4,296,067 ","4,021,947",ผู้มีงานทำ,  ภาคตะวันออกเฉียงเหนือ ,39,2565," 4,442,087 "," 4,207,238 ",หญิง                        ,กำลังแรงงาน
" 75,214 ","115,978",ผู้ว่างงาน,  ภาคตะวันออกเฉียงเหนือ ,40,2565," 85,400 "," 109,859 ",รวม,กำลังแรงงาน
" 39,080 ","60,444",ผู้ว่างงาน,  ภาคตะวันออกเฉียงเหนือ ,41,2565," 38,480 "," 52,193 ",ชาย                         ,กำลังแรงงาน
" 36,134 ","55,534",ผู้ว่างงาน,  ภาคตะวันออกเฉียงเหนือ ,42,2565," 46,921 "," 57,666 ",หญิง                        ,กำลังแรงงาน
" 54,567 ","223,704",รอฤดูกาล,  ภาคตะวันออกเฉียงเหนือ ,43,2565," 16,848 "," 147,084 ",รวม,กำลังแรงงาน
" 33,320 ","122,661",รอฤดูกาล,  ภาคตะวันออกเฉียงเหนือ ,44,2565," 9,867 "," 96,577 ",ชาย                         ,กำลังแรงงาน
" 21,247 ","101,043",รอฤดูกาล,  ภาคตะวันออกเฉียงเหนือ ,45,2565," 6,980 "," 50,506 ",หญิง                        ,กำลังแรงงาน
" 5,291,458 ","5,214,395",ผู้มีงานทำ,      ภาคใต้                           ,46,2565," 5,216,127 "," 5,235,659 ",รวม,กำลังแรงงาน
" 2,921,082 ","2,874,892",ผู้มีงานทำ,      ภาคใต้                           ,47,2565," 2,870,762 "," 2,877,319 ",ชาย                         ,กำลังแรงงาน
" 2,370,376 ","2,339,503",ผู้มีงานทำ,      ภาคใต้                           ,48,2565," 2,345,364 "," 2,358,340 ",หญิง                        ,กำลังแรงงาน
" 95,613 ","127,125",ผู้ว่างงาน,      ภาคใต้                           ,49,2565," 102,970 "," 124,616 ",รวม,กำลังแรงงาน
" 45,883 ","63,983",ผู้ว่างงาน,      ภาคใต้                           ,50,2565," 47,134 "," 62,481 ",ชาย                         ,กำลังแรงงาน
" 49,730 ","63,143",ผู้ว่างงาน,      ภาคใต้                           ,51,2565," 55,836 "," 62,135 ",หญิง                        ,กำลังแรงงาน
 729 ,"1,572",รอฤดูกาล,      ภาคใต้                           ,52,2565, - , 254 ,รวม,กำลังแรงงาน
 441 ,372,รอฤดูกาล,      ภาคใต้                           ,53,2565, - , - ,ชาย                         ,กำลังแรงงาน
 288 ,"1,200",รอฤดูกาล,      ภาคใต้                           ,54,2565, - , 254 ,หญิง                        ,กำลังแรงงาน
