เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
พฤษภาคม,59917,1,2566,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
พฤษภาคม,1617,2,2566,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
พฤษภาคม,16679,3,2566,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
พฤษภาคม,6,4,2566,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
พฤษภาคม,205,5,2566,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
พฤษภาคม,33,6,2566,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
พฤษภาคม,33,7,2566,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
พฤษภาคม,82,8,2566,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
พฤษภาคม,202747,9,2566,รย. 12 รถจักรยานยนต์,รถยนต์
พฤษภาคม,5863,10,2566,รย. 13 รถแทร็กเตอร์,รถยนต์
พฤษภาคม,68,11,2566,รย. 14 รถบดถนน,รถยนต์
พฤษภาคม,35,12,2566,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
พฤษภาคม,88,13,2566,รย. 16 รถพ่วง,รถยนต์
พฤษภาคม,126,14,2566,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
พฤษภาคม,246,15,2566,รถโดยสารประจำทาง,รถขนส่ง
พฤษภาคม,480,16,2566,รถโดยสารไม่ประจำทาง,รถขนส่ง
พฤษภาคม,55,17,2566,รถโดยสารส่วนบุคคล,รถขนส่ง
พฤษภาคม,3400,18,2566,รถบรรทุกไม่ประจำทาง,รถขนส่ง
พฤษภาคม,3277,19,2566,รถบรรทุกส่วนบุคคล,รถขนส่ง
