_id,ปี,จำนวนโรงงาน,อำเภอ
1,2561,578,เมืองระยอง
2,2562,616,เมืองระยอง
3,2563,652,เมืองระยอง
4,2564,702,เมืองระยอง
5,2565,734,เมืองระยอง
6,2566,630,เมืองระยอง
7,2567,656,เมืองระยอง
8,2568,682,เมืองระยอง
9,2561,207,แกลง
10,2562,218,แกลง
11,2563,229,แกลง
12,2564,241,แกลง
13,2565,250,แกลง
14,2566,206,แกลง
15,2567,218,แกลง
16,2568,222,แกลง
17,2561,330,นิคมพัฒนา
18,2562,361,นิคมพัฒนา
19,2563,385,นิคมพัฒนา
20,2564,416,นิคมพัฒนา
21,2565,448,นิคมพัฒนา
22,2566,372,นิคมพัฒนา
23,2567,421,นิคมพัฒนา
24,2568,445,นิคมพัฒนา
25,2561,199,บ้านค่าย
26,2562,210,บ้านค่าย
27,2563,215,บ้านค่าย
28,2564,225,บ้านค่าย
29,2565,238,บ้านค่าย
30,2566,205,บ้านค่าย
31,2567,216,บ้านค่าย
32,2568,231,บ้านค่าย
33,2561,81,บ้านฉาง
34,2562,87,บ้านฉาง
35,2563,92,บ้านฉาง
36,2564,102,บ้านฉาง
37,2565,108,บ้านฉาง
38,2566,86,บ้านฉาง
39,2567,92,บ้านฉาง
40,2568,94,บ้านฉาง
41,2561,970,ปลวกแดง
42,2562,"1,049",ปลวกแดง
43,2563,"1,104",ปลวกแดง
44,2564,"1,190",ปลวกแดง
45,2565,"1,202",ปลวกแดง
46,2566,995,ปลวกแดง
47,2567,"1,044",ปลวกแดง
48,2568,"1,089",ปลวกแดง
49,2561,33,วังจันทร์
50,2562,35,วังจันทร์
51,2563,38,วังจันทร์
52,2564,42,วังจันทร์
53,2565,43,วังจันทร์
54,2566,39,วังจันทร์
55,2567,39,วังจันทร์
56,2568,39,วังจันทร์
57,2561,7,เขาชะเมา
58,2562,7,เขาชะเมา
59,2563,7,เขาชะเมา
60,2564,7,เขาชะเมา
61,2565,7,เขาชะเมา
62,2566,3,เขาชะเมา
63,2567,3,เขาชะเมา
64,2568,4,เขาชะเมา
