_id,ปี,หน่วยนับ,เกษตรกรเลี้ยงสุกร,อำเภอ
1,2565,ราย,13,เมืองนครสวรรค์
2,2565,ราย,75,โกรกพระ
3,2565,ราย,102,ชุมแสง
4,2565,ราย,115,หนองบัว
5,2565,ราย,93,บรรพตพิสัย
6,2565,ราย,52,เก้าเลี้ยว
7,2565,ราย,21,ตาคลี
8,2565,ราย,214,ท่าตะโก
9,2565,ราย,46,ไพศาลี
10,2565,ราย,48,พยุหะคีรี
11,2565,ราย,101,ลาดยาว
12,2565,ราย,28,ตากฟ้า
13,2565,ราย,138,แม่วงก์
14,2565,ราย,36,แม่เปิน
15,2565,ราย,51,ชุมตาบง
16,2566,ราย,13,เมืองนครสวรรค์
17,2566,ราย,55,โกรกพระ
18,2566,ราย,118,ชุมแสง
19,2566,ราย,154,หนองบัว
20,2566,ราย,88,บรรพตพิสัย
21,2566,ราย,46,เก้าเลี้ยว
22,2566,ราย,25,ตาคลี
23,2566,ราย,204,ท่าตะโก
24,2566,ราย,55,ไพศาลี
25,2566,ราย,44,พยุหะคีรี
26,2566,ราย,105,ลาดยาว
27,2566,ราย,27,ตากฟ้า
28,2566,ราย,157,แม่วงก์
29,2566,ราย,36,แม่เปิน
30,2566,ราย,39,ชุมตาบง
31,2567,ราย,49,พยุหะคีรี
32,2567,ราย,108,ลาดยาว
33,2567,ราย,18,ตากฟ้า
34,2567,ราย,150,แม่วงก์
35,2567,ราย,27,แม่เปิน
36,2567,ราย,39,ชุมตาบง
37,2567,ราย,18,เมืองนครสวรรค์
38,2567,ราย,53,โกรกพระ
39,2567,ราย,119,ชุมแสง
40,2567,ราย,124,หนองบัว
41,2567,ราย,89,บรรพตพิสัย
42,2567,ราย,45,เก้าเลี้ยว
43,2567,ราย,22,ตาคลี
44,2567,ราย,204,ท่าตะโก
45,2567,ราย,55,ไพศาลี
