จำนวน,_id,ปี,ร้อยละ,สถานะทำงาน,ไตรมาส
198200,1,2555,75.1,ผู้มีงานทำ,1
0,2,2555,0,ผู้ว่างงาน,1
182700,3,2555,69.1,ผู้มีงานทำ,2
479,4,2555,0.3,ผู้ว่างงาน,2
196983,5,2555,74.3,ผู้มีงานทำ,3
261,6,2555,0.1,ผู้ว่างงาน,3
195744,7,2555,73.7,ผู้มีงานทำ,4
467,8,2555,0.2,ผู้ว่างงาน,4
196791,9,2556,66.5,ผู้มีงานทำ,1
272,10,2556,0.1,ผู้ว่างงาน,1
182533,11,2556,68.5,ผู้มีงานทำ,2
1417,12,2556,0.8,ผู้ว่างงาน,2
195228,13,2556,73.1,ผู้มีงานทำ,3
1660,14,2556,0.8,ผู้ว่างงาน,3
196101,15,2556,73.3,ผู้มีงานทำ,4
970,16,2556,0.5,ผู้ว่างงาน,4
161826,17,2557,69,ผู้มีงานทำ,1
190,18,2557,0.1,ผู้ว่างงาน,1
155193,19,2557,66.1,ผู้มีงานทำ,2
408,20,2557,0.3,ผู้ว่างงาน,2
160535,21,2557,68.4,ผู้มีงานทำ,3
1199,22,2557,0.7,ผู้ว่างงาน,3
160623,23,2557,68.4,ผู้มีงานทำ,4
468,24,2557,0.33,ผู้ว่างงาน,4
158695,25,2558,67.5,ผู้มีงานทำ,1
407,26,2558,0.3,ผู้ว่างงาน,1
155994,27,2558,66.3,ผู้มีงานทำ,2
50,28,2558,0.03,ผู้ว่างงาน,2
154218,29,2558,65.5,ผู้มีงานทำ,3
1133,30,2558,0.7,ผู้ว่างงาน,3
158276,31,2558,67.1,ผู้มีงานทำ,4
169,32,2558,0.1,ผู้ว่างงาน,4
161664,33,2559,68.6,ผู้มีงานทำ,1
695,34,2559,0.4,ผู้ว่างงาน,1
147385,35,2559,62.5,ผู้มีงานทำ,2
1626,36,2559,1.1,ผู้ว่างงาน,2
157747,37,2559,66.8,ผู้มีงานทำ,3
687,38,2559,0.4,ผู้ว่างงาน,3
151138,39,2559,64,ผู้มีงานทำ,4
33,40,2559,0.02,ผู้ว่างงาน,4
159835,41,2560,67.6,ผู้มีงานทำ,1
171,42,2560,0.1,ผู้ว่างงาน,1
158016,43,2560,66.8,ผู้มีงานทำ,2
663,44,2560,0.4,ผู้ว่างงาน,2
162152,45,2560,68.5,ผู้มีงานทำ,3
1216,46,2560,0.7,ผู้ว่างงาน,3
157308,47,2560,66.4,ผู้มีงานทำ,4
818,48,2560,0.5,ผู้ว่างงาน,4
160116,49,2561,67.5,ผู้มีงานทำ,1
1109,50,2561,0.7,ผู้ว่างงาน,1
160151,51,2561,67.5,ผู้มีงานทำ,2
1308,52,2561,0.8,ผู้ว่างงาน,2
159151,53,2561,67,ผู้มีงานทำ,3
1177,54,2561,0.7,ผู้ว่างงาน,3
152932,55,2561,64.4,ผู้มีงานทำ,4
1051,56,2561,0.7,ผู้ว่างงาน,4
152156,57,2562,64,ผู้มีงานทำ,1
896,58,2562,0.4,ผู้ว่างงาน,1
149080,59,2562,62.7,ผู้มีงานทำ,2
399,60,2562,0.3,ผู้ว่างงาน,2
153364,61,2562,64.5,ผู้มีงานทำ,3
1033,62,2562,0.7,ผู้ว่างงาน,3
151782,63,2562,63.7,ผู้มีงานทำ,4
277,64,2562,0.1,ผู้ว่างงาน,4
143844,65,2563,60.4,ผู้มีงานทำ,1
170,66,2563,0.1,ผู้ว่างงาน,1
142625,67,2563,59.8,ผู้มีงานทำ,2
391,68,2563,0.3,ผู้ว่างงาน,2
152179,69,2563,63.8,ผู้มีงานทำ,3
2240,70,2563,1.4,ผู้ว่างงาน,3
150738,71,2563,63.2,ผู้มีงานทำ,4
1033,72,2563,0.7,ผู้ว่างงาน,4
149137,73,2564,62.5,ผู้มีงานทำ,1
853,74,2564,0.6,ผู้ว่างงาน,1
150501,75,2564,63,ผู้มีงานทำ,2
858,76,2564,0.6,ผู้ว่างงาน,2
147323,77,2564,61.7,ผู้มีงานทำ,3
262,78,2564,0.2,ผู้ว่างงาน,3
145028,79,2564,60.7,ผู้มีงานทำ,4
677,80,2564,0.5,ผู้ว่างงาน,4
156676,81,2565,66.0,ผู้มีงานทำ,1
1110,82,2565,0.7,ผู้ว่างงาน,1
149739,83,2565,64.9,ผู้มีงานทำ,2
1341,84,2565,0.9,ผู้ว่างงาน,2
150159,85,2565,65.2,ผู้มีงานทำ,3
1924,86,2565,1.3,ผู้ว่างงาน,3
147998,87,2565,64.3,ผู้มีงานทำ,4
1825,88,2565,1.2,ผู้ว่างงาน,4
152800,89,2566,66.5,ผู้มีงานทำ,1
314,90,2566,0.2,ผู้ว่างงาน,1
149419,91,2566,65.1,ผู้มีงานทำ,2
374,92,2566,0.6,ผู้ว่างงาน,2
145453,93,2566,63.4,ผู้มีงานทำ,3
1607,94,2566,1.1,ผู้ว่างงาน,3
156180,95,2566,68.2,ผู้มีงานทำ,4
321,96,2566,0.2,ผู้ว่างงาน,4
153222,97,2567,67,ผู้มีงานทำ,1
2085,98,2567,1.3,ผู้ว่างงาน,1
151582,99,2567,66.4,ผู้มีงานทำ,2
997,100,2567,0.6,ผู้ว่างงาน,2
147795,101,2567,64.8,ผู้มีงานทำ,3
1353,102,2567,0.9,ผู้ว่างงาน,3
147752,103,2567,64.9,ผู้มีงานทำ,4
1063,104,2567,0.7,ผู้ว่างงาน,4
151563,105,2568,66.7,ผู้มีงานทำ,1
631,106,2568,0.4,ผู้ว่างงาน,1
