เดือน,จำนวน,_id,รายการ
ก.พ.," 236,447 ",1,ประชากรอายุ 15 ปีขึ้นไป
ก.พ.," 176,460 ",2,กำลังแรงงาน
ก.พ.," 59,987 ",3,ไม่อยู่ในกำลังแรงงาน
ก.พ.," 176,460 ",4,ผู้มีงานทำ
ก.พ., 187 ,5,ผู้ว่างงาน
ก.พ.,,6,ผู้รอฤดูกาล
