จำนวน,_id,ปี,ประเภทรถ,จังหวัด
48243,47,2566,รถยนต์บริการให้เช่า,ระยอง
616,48,2566,รถจักรยานยนต์,ระยอง
10,49,2566,รถแทกเตอร์,ระยอง
0,50,2566,รถบดถนน,ระยอง
1,51,2566,รถใช้งานเกษตรกรรม,ระยอง
5,52,2566,รถพ่วง,ระยอง
0,53,2566,รถจักรยานยนต์สาธารณะ,ระยอง
0,54,2566,รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,ระยอง
10477,55,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ระยอง
194,56,2565,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ระยอง
3498,57,2565,รถยนต์บรรทุกส่วนบุคคล,ระยอง
9,58,2565,รถยนต์สามล้อส่วนบุคคล,ระยอง
0,59,2565,รถยนต์รับจ้างระหว่างจังหวัด,ระยอง
0,60,2565,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ระยอง
0,61,2565,รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),ระยอง
0,62,2565,รถยนต์รับจ้างสามล้อ,ระยอง
0,63,2565,รถยนต์บริการธุรกิจ,ระยอง
0,64,2565,รถยนต์บริการทัศนาจร,ระยอง
46322,65,2565,รถยนต์บริการให้เช่า,ระยอง
604,66,2565,รถจักรยานยนต์,ระยอง
6,67,2565,รถแทกเตอร์,ระยอง
0,68,2565,รถบดถนน,ระยอง
1,69,2565,รถใช้งานเกษตรกรรม,ระยอง
8,70,2565,รถพ่วง,ระยอง
0,71,2565,รถจักรยานยนต์สาธารณะ,ระยอง
0,72,2565,รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,ระยอง
9125,73,2564,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ระยอง
101,74,2564,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ระยอง
3439,75,2564,รถยนต์บรรทุกส่วนบุคคล,ระยอง
0,76,2564,รถยนต์สามล้อส่วนบุคคล,ระยอง
0,77,2564,รถยนต์รับจ้างระหว่างจังหวัด,ระยอง
0,78,2564,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ระยอง
0,79,2564,รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),ระยอง
0,80,2564,รถยนต์รับจ้างสามล้อ,ระยอง
0,81,2564,รถยนต์บริการธุรกิจ,ระยอง
0,82,2564,รถยนต์บริการทัศนาจร,ระยอง
37700,83,2564,รถยนต์บริการให้เช่า,ระยอง
480,84,2564,รถจักรยานยนต์,ระยอง
10,85,2564,รถแทกเตอร์,ระยอง
0,86,2564,รถบดถนน,ระยอง
3,87,2564,รถใช้งานเกษตรกรรม,ระยอง
13,88,2564,รถพ่วง,ระยอง
0,89,2564,รถจักรยานยนต์สาธารณะ,ระยอง
0,90,2564,รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,ระยอง
