ค่าข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
"47,075",สำนักงานขนส่งจังหวัดมหาสารคาม,1,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รวมยอด,มหาสารคาม,คัน
"6,213",สำนักงานขนส่งจังหวัดมหาสารคาม,2,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,มหาสารคาม,คัน
137,สำนักงานขนส่งจังหวัดมหาสารคาม,3,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,มหาสารคาม,คัน
"5,048",สำนักงานขนส่งจังหวัดมหาสารคาม,4,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บรรทุกส่วนบุคคล,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,5,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สามล้อส่วนบุคคล,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,6,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างระหว่างจังหวัด,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,7,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,8,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สี่ล้อเล็กรับจ้าง,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,9,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างสามล้อ,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,10,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการธุรกิจ,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,11,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการทัศนาจร,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,12,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการให้เช่า,มหาสารคาม,คัน
"34,507",สำนักงานขนส่งจังหวัดมหาสารคาม,13,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์,มหาสารคาม,คัน
