นอกกำลังแรงงานรวม,_id,ปี,ผู้มีงานทำ,กำลังแรงงานทั้งหมด,เรียนหนังสือ,อื่นๆ,อยู่ในกำลังแรงงาน,ไตรมาส,ทำงานบ้าน,ผู้ว่างงาน,จำนวนประชากรทั้งหมด
"48,816",1,2565,"98,764","148,560","13,105","20,307","99,744",1,"15,405",980," 177,202 "
"46,421",2,2565,"101,008","148,402","12,246","18,142","101,981",2,"16,032",973," 176,883 "
"45,453",3,2565,"101,939","148,236","10,091","19,065","102,783",3,"16,297",844," 176,567 "
"48,710",4,2565,"98,754","148,063","11,849","20,770","99,353",4,"16,091",599," 176,238 "
"45,705",5,2566,"101,689","147,894","10,986","20,684","102,189",1,"14,035",500," 175,916 "
"45,808",6,2566,"101,029","147,731","11,160","19,987","101,923",2,"14,661",894," 175,600 "
"46,009",7,2566,"101,063","147,566","9,573","23,253","101,557",3,"16,783",494," 175,282 "
"43,810",8,2566,"102,769","147,388","9,062","20,404","103,578",4,"14,380",808," 174,960 "
"42,440",9,2567,"104,056","147,210","9,314","21,222","104,770",1,"11,905",714," 174,638 "
"42,332",10,2567,"103,997","147,047","9,571","20,659","104,715",2,"12,102",718," 174,325 "
"43,408",11,2567,"102,392","146,866","8,963","20,689","103,458",3,"13,756","1,066"," 174,004 "
"45,358",12,2567,"100,724","146,676","8,575","22,898","101,318",4,"13,885",594," 173,680 "
"43,806",13,2568,"102,132","146,495","9,582","22,548","102,689",1,"11,676",557," 173,359 "
