_id,ปี,หน่วยนับ,เนื้อที่เก็บเกี่ยว,จังหวัด
1,2564,ไร่,447747,นครสวรรค์
2,2565,ไร่,410480,นครสวรรค์
3,2566,ไร่,342048,นครสวรรค์
4,2567,ไร่,31642,นครสวรรค์
