เงินลงทุน (ล้านบาท),_id,ปี,ลำดับ,อำเภอ
403.18,1,2568,1,กระนวน
515.7,2,2568,2,เขาสวนกวาง
141.94,3,2568,3,ชนบท
251.95,4,2568,4,ชุมแพ
5,5,2568,5,ซำสูง
413.23,6,2568,6,น้ำพอง
0.27,7,2568,7,โนนศิลา
390.02,8,2568,8,บ้านไผ่
14,9,2568,9,บ้านแฮด
274,10,2568,10,พระยืน
326.53,11,2568,11,พล
3.58,12,2568,12,มัญจาคีรี
395.33,13,2568,13,เมืองขอนแก่น
75.69,14,2568,14,หนองเรือ
59.85,15,2568,15,หนองสองห้อง
0,16,2568,16,แวงน้อย
0,17,2568,17,แวงใหญ่
0,18,2568,18,โคกโพธิ์ไชย
0,19,2568,19,เปือยน้อย
0,20,2568,20,หนองนาคำ
0,21,2568,21,ภูผาม่าน
0,22,2568,22,ภูเวียง
0,23,2568,23,สีชมพู
0,24,2568,24,อุบลรัตน์
,25,,,
,26,ข้อมูล ณ วันที่ 17 กุมภาพันธ์ 2568,,
