OCCUPATION,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,192.22,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,1,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,317.02,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,2,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,332.53,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,3,หญิง,พันคน,กรุงเทพมหานคร,2567
 เสมียน,315.48,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,4,หญิง,พันคน,กรุงเทพมหานคร,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,886.69,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,5,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,16.97,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,6,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,130.79,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,7,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,151.56,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,8,หญิง,พันคน,กรุงเทพมหานคร,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,396.68,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,9,หญิง,พันคน,กรุงเทพมหานคร,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,9.63,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,10,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,293.67,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,11,ชาย,พันคน,ภาคกลาง,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,248.66,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,12,ชาย,พันคน,ภาคกลาง,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,320.28,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,13,ชาย,พันคน,ภาคกลาง,2567
 เสมียน,189.05,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,14,ชาย,พันคน,ภาคกลาง,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,1156.87,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,15,ชาย,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,1013.49,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,16,ชาย,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,1296.05,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,17,ชาย,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,1720.92,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,18,ชาย,พันคน,ภาคกลาง,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,817.52,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,19,ชาย,พันคน,ภาคกลาง,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,43.79,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,20,ชาย,พันคน,ภาคกลาง,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,172.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,21,หญิง,พันคน,ภาคกลาง,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,421.67,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,22,หญิง,พันคน,ภาคกลาง,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,420.96,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,23,หญิง,พันคน,ภาคกลาง,2567
 เสมียน,522.86,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,24,หญิง,พันคน,ภาคกลาง,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,1875.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,25,หญิง,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,639.23,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,26,หญิง,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,475.58,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,27,หญิง,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,801.86,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,28,หญิง,พันคน,ภาคกลาง,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,899.12,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,29,หญิง,พันคน,ภาคกลาง,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,30.09,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,30,หญิง,พันคน,ภาคกลาง,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,102.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,31,ชาย,พันคน,ภาคเหนือ,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,86.16,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,32,ชาย,พันคน,ภาคเหนือ,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,81.86,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,33,ชาย,พันคน,ภาคเหนือ,2567
 เสมียน,51.34,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,34,ชาย,พันคน,ภาคเหนือ,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,389.09,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,35,ชาย,พันคน,ภาคเหนือ,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,1495.74,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,36,ชาย,พันคน,ภาคเหนือ,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,413.63,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,37,ชาย,พันคน,ภาคเหนือ,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,242.41,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,38,ชาย,พันคน,ภาคเหนือ,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,442.98,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,39,ชาย,พันคน,ภาคเหนือ,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.71,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,40,ชาย,พันคน,ภาคเหนือ,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,40.38,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,41,หญิง,พันคน,ภาคเหนือ,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,187.87,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,42,หญิง,พันคน,ภาคเหนือ,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,83.25,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,43,หญิง,พันคน,ภาคเหนือ,2567
 เสมียน,141.26,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,44,หญิง,พันคน,ภาคเหนือ,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,697.51,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,45,หญิง,พันคน,ภาคเหนือ,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,1067.53,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,46,หญิง,พันคน,ภาคเหนือ,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,178.97,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,47,หญิง,พันคน,ภาคเหนือ,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,67.03,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,48,หญิง,พันคน,ภาคเหนือ,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,337.84,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,49,หญิง,พันคน,ภาคเหนือ,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.27,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,50,หญิง,พันคน,ภาคเหนือ,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,168.83,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,51,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,102.13,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,52,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,73.66,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,53,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 เสมียน,59.1,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,54,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,589.1,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,55,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,2853.15,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,56,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,532.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,57,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,280.85,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,58,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,483.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,59,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,60,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,74.02,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,61,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,254.38,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,62,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,123.77,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,63,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 เสมียน,172.64,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,64,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,1057.58,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,65,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,2145.62,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,66,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,179.5,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,67,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
